gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	84383	6469	1073284139	391039811	9125115	1423353
m	male	82183	6421	1140484795	415595667	9272957	1468707
u	unknown	58671	6141	10514800	3795517	99062	17436
