advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f	female	422	1	43953049	19837867	247862	56979
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	f	female	5682	1	27692077	7546353	400803	19989
CDU	CDU	78502295414	Facebook	f	female	14104	1	22440331	4847204	736316	1898
European Greens	European Greens	141366725876424	Facebook	f	female	81	1	16836473	7657388	136819	32650
European Commission	European Commission	107898832590939	Facebook	f	female	93	1	15883197	7403574	48604	12849
Best For Britain	Best for Britain	1863944713844924	Facebook	f	female	94	1	14783261	6066115	118820	26699
SPD	SPD	47930567748	Facebook	f	female	2612	1	13388883	3365040	271782	7708
Fidesz	Fidesz	9844779306	Facebook	f	female	122	1	13202060	5821573	66775	28526
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	2371	1	12736190	3360235	273576	12384
Avaaz	Avaaz	8340223883	Facebook	f	female	117	1	10119427	4346442	58205	14147
FDP	FDP	21289227249	Facebook	f	female	1378	1	9262407	2595176	111055	3026
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	f	female	60	1	8230083	3681321	58970	12989
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	f	female	127	1	8114788	3461161	71650	17530
Gouvernement	Gouvernement	392341217527576	Facebook	f	female	40	1	7367210	3259737	50393	11099
Open Vld	Open Vld	53668151866	Facebook	f	female	118	1	7001369	2959559	79677	19643
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	f	female	290	1	6793963	2673156	34009	6199
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	f	female	222	1	6670823	2727304	102543	24599
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	f	female	59	1	6624056	2880636	41443	10363
Ciudadanos	Ciudadanos	74078667754	Facebook	f	female	143	1	6551179	2782546	74731	19275
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	f	female	45	1	6541926	2978912	9287	1914
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	f	female	147	1	6229713	2669962	17908	7634
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	f	female	306	1	5634850	2000513	57124	9929
The Labour Party	The Labour Party	25749647410	Facebook	f	female	194	1	5470624	2273195	57349	10564
CD&V	CD&V	52997544531	Facebook	f	female	148	1	4812265	1797384	37427	6869
Katarina Barley	SPD	1522202731410785	Facebook	f	female	506	1	4754558	1154362	52583	1982
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	f	female	144	1	4576366	1770784	13791	5195
Moderaterna	Moderaterna	7719591155	Facebook	f	female	143	1	4417408	1774776	67659	15926
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	f	female	44	1	4335591	1890948	63641	19724
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	female	36	1	4277999	1859420	62262	15212
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	female	17	1	4150863	2016040	39160	12792
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	f	female	138	1	3983109	1210839	14058	3640
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	f	female	278	1	3877458	1345145	65210	14595
