advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m	male	422	1	45554950	20381189	247691	56446
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m	male	5540	1	22304894	6242009	288452	15338
European Commission	European Commission	107898832590939	Facebook	m	male	92	1	20628064	9589918	68610	17138
CDU	CDU	78502295414	Facebook	m	male	14104	1	20612976	4496417	678206	2091
Fidesz	Fidesz	9844779306	Facebook	m	male	123	1	14008972	6123867	70096	30047
Avaaz	Avaaz	8340223883	Facebook	m	male	119	1	11604165	4991618	64622	16545
SPD	SPD	47930567748	Facebook	m	male	2479	1	11385515	2851743	258245	6964
European Greens	European Greens	141366725876424	Facebook	m	male	81	1	10983253	5005347	91601	21155
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2303	1	10694087	2602055	277350	13249
FDP	FDP	21289227249	Facebook	m	male	1175	1	10694075	3350884	117815	5546
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	m	male	59	1	10226927	4485038	31030	7872
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m	male	221	1	9405195	3830979	143523	34740
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	m	male	60	1	9094574	4052940	59500	13373
Open Vld	Open Vld	53668151866	Facebook	m	male	117	1	7936988	3345810	82143	20418
Moderaterna	Moderaterna	7719591155	Facebook	m	male	134	1	6942425	2756986	113239	27485
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	141	1	6858858	2868221	74447	18777
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	294	1	6734757	2703237	36600	6265
Gouvernement	Gouvernement	392341217527576	Facebook	m	male	40	1	6425363	2843613	38028	8313
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	m	male	17	1	5956444	2803517	24137	5728
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m	male	146	1	5882719	2560757	15934	6717
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	44	1	5767411	2513766	79524	24821
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	m	male	59	1	5594880	2482245	33362	8411
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	36	1	5494910	2408641	83795	20887
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	23	1	5173412	2361699	16278	7442
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m	male	17	1	4870497	2350126	49031	17703
