advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	u	unknown	39	1	64774	28976	423	132
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	u	unknown	18	1	55716	25597	194	54
Gouvernement	Gouvernement	392341217527576	Facebook	u	unknown	30	1	43381	17021	90	19
Conservatives	The Conservative Party	8807334278	Facebook	u	unknown	623	1	34023	4729	1879	4
CDU	CDU	78502295414	Facebook	u	unknown	2584	1	24240	4523	815	0
The Labour Party	The Labour Party	25749647410	Facebook	u	unknown	10	1	17151	7529	143	42
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	u	unknown	17	1	13496	5834	279	56
Avaaz	Avaaz	8340223883	Facebook	u	unknown	10	1	13292	5230	23	6
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	u	unknown	525	1	10460	2015	295	1
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	u	unknown	32	1	10433	2428	132	26
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	u	unknown	185	1	10370	2304	386	0
INBOX	New Digital Media	369693523475596	Facebook	u	unknown	15	1	10091	4292	14	1
People's Vote UK	People's Vote	748608695327755	Facebook	u	unknown	13	1	8337	2551	83	11
Moderaterna	Moderaterna	7719591155	Facebook	u	unknown	18	1	8291	3603	114	29
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	u	unknown	3	1	5905	2952	31	7
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	u	unknown	58	1	5338	2031	13	4
FDP	FDP	21289227249	Facebook	u	unknown	169	1	4828	823	119	0
Liberalerna Stockholm	Liberalerna Stockholm	682180208473039	Facebook	u	unknown	5	1	4363	872	8	4
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	u	unknown	20	1	4060	1499	34	3
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	u	unknown	2	1	4023	1535	37	7
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	u	unknown	17	1	4011	1275	19	1
Podemos Comunidad de Madrid	Unidas Podemos Izquierda Unida Madrid en Pie	261762710669900	Facebook	u	unknown	1	1	3918	1567	39	7
SPÖ	SPÖ	77393060080	Facebook	u	unknown	23	1	3847	1337	56	10
European Commission	European Commission	107898832590939	Facebook	u	unknown	3	1	3846	1804	7	1
Vlaams Belang	Vlaams Belang	56605856504	Facebook	u	unknown	9	1	3831	1888	54	18
Οι Έλληνες	In Progress	2273336566260671	Facebook	u	unknown	2	1	3787	1626	10	5
Fidesz	Fidesz	9844779306	Facebook	u	unknown	18	1	3582	1625	16	7
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	u	unknown	33	1	3394	972	17	0
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	u	unknown	41	1	3388	735	32	0
Νάσος Ηλιόπουλος	Athanasios Iliopoulos	1535215766758773	Facebook	u	unknown	7	1	3387	676	7	0
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	u	unknown	1	1	3370	1348	6	3
Γιώργος Καμίνης	Georgios Kaminis	186974508081005	Facebook	u	unknown	6	1	3332	1166	12	4
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	u	unknown	14	1	3212	929	6	0
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	u	unknown	13	1	3174	757	24	7
Werner Kogler	Die Grünen	133612666671985	Facebook	u	unknown	2	1	3086	1147	30	6
Greenpeace Belgium	Greenpeace Belgium	73232790238	Facebook	u	unknown	8	1	3035	632	10	0
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	u	unknown	30	1	3006	1094	9	1
Open Vld	Open Vld	53668151866	Facebook	u	unknown	29	1	2932	963	24	2
Cruel	In Progress	1949870255322243	Facebook	u	unknown	1	1	2910	1164	5	2
In Progress	In Progress	254883792041627	Facebook	u	unknown	1	1	2823	1129	5	2
38 Degrees	38 Degrees	200006375787	Facebook	u	unknown	7	1	2725	791	16	0
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	u	unknown	5	1	2659	1132	40	7
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	u	unknown	4	1	2648	1073	9	3
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	u	unknown	9	1	2615	601	20	5
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	u	unknown	1	1	2588	1294	6	1
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	u	unknown	7	1	2549	860	7	0
Mark Durkan	Fine Gael	2002340613394109	Facebook	u	unknown	2	1	2506	1253	20	9
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	u	unknown	19	1	2306	877	8	2
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	u	unknown	1	1	2191	876	4	2
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	u	unknown	2	1	2162	1081	4	0
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	u	unknown	6	1	2093	469	21	3
Berliner Stadtwerke	Berliner Stadtwerke	765844936882239	Facebook	u	unknown	3	1	1952	542	16	3
West Midlands Conservatives	West Midlands Conservatives	223025417884693	Facebook	u	unknown	1	1	1937	968	5	1
Harald Vilimsky	FPÖ	547597092025909	Facebook	u	unknown	4	1	1915	689	3	0
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	u	unknown	9	1	1884	506	29	7
Reacciona y Actúa	Actúa 	1916676245053161	Facebook	u	unknown	15	1	1883	501	7	0
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	u	unknown	3	1	1823	732	18	3
Scientists for EU	Scientists for EU	642444842524195	Facebook	u	unknown	1	1	1799	900	10	2
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	u	unknown	2	1	1795	677	6	1
Mladež HDZ	HDZ - Hrvatska demokratska zajednica	426737060720348	Facebook	u	unknown	10	1	1783	368	5	0
Europäisches Parlament - Verbindungsbüro in Deutschland	Europäisches Parlament - Verbindungsbüro in Deutschland	294494163510	Facebook	u	unknown	2	1	1758	879	6	2
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	u	unknown	27	1	1754	536	20	0
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	u	unknown	1	1	1741	870	40	8
Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	u	unknown	1	1	1735	694	1	0
Zelení - Strana zelených	Zelení - Strana zelených	39371299263	Facebook	u	unknown	5	1	1707	386	6	1
Compromís	Compromís	194053080624605	Facebook	u	unknown	49	1	1659	365	25	0
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	u	unknown	9	1	1659	788	8	0
Antton Rönnholm	Antton Rönnholm	575908612596562	Facebook	u	unknown	10	1	1576	380	14	0
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	u	unknown	5	1	1567	658	4	0
Peter Mertens	PVDA	236485149843971	Facebook	u	unknown	8	1	1530	682	7	1
Party of the European Left	Franziska Laskowski	160598290012	Facebook	u	unknown	1	1	1514	606	1	0
GMB Union	GMB Union	103295786760891	Facebook	u	unknown	5	1	1501	367	3	0
Tom Watson	The Labour Party. Promoted by Tom Watson on behalf of Tom Watson	470873686267967	Facebook	u	unknown	5	1	1444	288	11	0
PS Région bruxelloise	PS Région bruxelloise	279112515484034	Facebook	u	unknown	8	1	1372	319	17	2
Βασιλική Λαζαράκου	Βασιλική Λαζαράκου 	443842809693601	Facebook	u	unknown	3	1	1361	520	5	0
Ivan ŠTEFANEC	KDH	324560137683033	Facebook	u	unknown	3	1	1360	652	5	1
Amnesty International Polska	Amnesty International Polska	57544755889	Facebook	u	unknown	3	1	1357	314	4	0
Carlo Calenda	Siamo Europei	131887960826264	Facebook	u	unknown	1	1	1355	542	1	0
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	u	unknown	11	1	1307	288	9	0
London Green Party	London Green Party	175350485880358	Facebook	u	unknown	9	1	1272	254	29	0
Social Democrats	Social Democrats	1012851375393300	Facebook	u	unknown	15	1	1239	289	5	0
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	u	unknown	1	1	1223	612	0	0
Ιωάννης Σγουρός	Ιωαννης Σγουρος	1401098180146606	Facebook	u	unknown	3	1	1213	285	3	0
Kyriakos Mitsotakis	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	34848567724	Facebook	u	unknown	5	1	1186	258	2	0
Tuomas Tikkanen	Tikkanen Juho Tuomas	2139907472900957	Facebook	u	unknown	4	1	1141	277	11	1
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	u	unknown	4	1	1132	249	13	3
Monika Hohlmeier	Monika Hohlmeier	139065632780165	Facebook	u	unknown	8	1	1124	253	5	0
CD&V	CD&V	52997544531	Facebook	u	unknown	5	1	1107	438	6	1
Jobbik Magyarországért Mozgalom	Országgyűlés Hivatala Jobbik Frakció	287770891404	Facebook	u	unknown	3	1	1091	466	2	1
Miriam Kuzárová, kandidátka do Európskeho parlamentu	KDH	137416183351336	Facebook	u	unknown	11	1	1084	285	6	0
Ian Borg	Ian Borg	151496594943131	Facebook	u	unknown	5	1	1079	234	3	0
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	u	unknown	3	1	1070	247	2	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	u	unknown	4	1	1067	352	2	0
ChristenUnie	ChristenUnie	211661062254003	Facebook	u	unknown	13	1	1059	209	3	0
Partido Socialista de la Región de Murcia (PSRM-PSOE)	Partido Socialista de la Región de Murcia 	154616807805	Facebook	u	unknown	17	1	1045	230	4	0
Alex Salmond	Slainte Media	136191876445102	Facebook	u	unknown	1	1	1037	207	2	0
VVD	VVD	121264564551002	Facebook	u	unknown	5	1	1025	460	4	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	u	unknown	9	1	1017	298	4	0
South West Green Party	The Green Party of England and Wales	244490049076873	Facebook	u	unknown	14	1	1003	366	25	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	u	unknown	4	1	972	210	2	0
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	u	unknown	5	1	964	410	1	0
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	u	unknown	38	1	958	198	2	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	u	unknown	3	1	948	205	2	0
Caterina Avanza	Partito Democratico - Caterina Avanza	623847078064207	Facebook	u	unknown	6	1	945	319	6	1
Miikka-Markus Leskinen europarlamenttiin	Leskinen Miikka-Markus	1964589417153542	Facebook	u	unknown	2	1	923	184	9	1
Nikolaj Villumsen	Nikolaj Villumsen	529124290474705	Facebook	u	unknown	15	1	921	429	6	1
Krzysztof Bosak	Konfederacja KORWiN Braun Liroy Narodowcy	141833139301	Facebook	u	unknown	12	1	912	198	3	0
Enhedslisten	Enhedslisten	223040066022	Facebook	u	unknown	2	1	904	211	12	2
Global Justice Now	Global Justice Now	6707857033	Facebook	u	unknown	1	1	894	178	2	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	u	unknown	1	1	890	178	1	0
En Comú Podem	En Comú Podem	463627663844039	Facebook	u	unknown	2	1	888	177	8	1
ver.di	la red	252085013582	Facebook	u	unknown	1	1	876	438	8	4
PARTEI MENSCH UMWELT TIERSCHUTZ	PARTEI MENSCH UMWELT TIERSCHUTZ	108568039165729	Facebook	u	unknown	5	1	851	170	8	1
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	u	unknown	4	1	835	167	2	0
Ruža Kovačević Bilić	Hrvatska narodna stranka - liberalni demokrati (HNS)	2268602929863854	Facebook	u	unknown	3	1	829	197	2	0
Νίκος Ανδρουλάκης	Νίκος Ανδρουλάκης	216089191899991	Facebook	u	unknown	5	1	824	207	3	0
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	u	unknown	17	1	798	341	9	0
Andrej Bóna	Vokoun Tomas	321165708610626	Facebook	u	unknown	1	1	792	396	3	1
Scottish Labour Party	Scottish Labour Party	310039442421596	Facebook	u	unknown	3	1	786	242	9	1
Barcelona en Comú	Barcelona en Comú	247118052078814	Facebook	u	unknown	3	1	783	244	7	0
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	u	unknown	6	1	770	291	2	0
Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	u	unknown	1	1	759	151	8	1
MENSCHLICHE WELT	Menschliche Welt	245758938922923	Facebook	u	unknown	6	1	750	183	4	0
Podemos Aragón	Podemos Equo	570770963015441	Facebook	u	unknown	2	1	742	371	2	0
Plaid Cymru	Plaid Cymru	26416930992	Facebook	u	unknown	1	1	734	146	8	1
Festival Psicologia	Ordine degli Psicologi del Lazio	375703235973864	Facebook	u	unknown	4	1	731	313	3	0
Domagoj Maroević	HDZ - Hrvatska demokratska zajednica	377283356332665	Facebook	u	unknown	1	1	706	141	1	0
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	u	unknown	3	1	704	325	2	0
Sébastien de Jonge	De Jonge Sébastien Edouard	370249413831637	Facebook	u	unknown	1	1	700	140	6	1
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	u	unknown	3	1	682	306	2	1
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	u	unknown	2	1	676	158	1	0
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	u	unknown	9	1	673	224	2	0
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	u	unknown	3	1	672	179	2	1
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	u	unknown	2	1	672	256	1	0
Eric Luth	Eric Luth – Centerpartiet	757931234599499	Facebook	u	unknown	4	1	670	203	9	1
Ζωγράφου Ώρα για δουλειά	Vasilis Thodas	618521531881415	Facebook	u	unknown	2	1	669	144	1	0
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	u	unknown	5	1	666	148	5	1
Front Europejski	Medium: agencja reklamowa	590514511295079	Facebook	u	unknown	6	1	666	141	1	0
