advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ruža Tomašić		1434305366791182	Facebook	65_	65+	HR	Croatia	37	1	203315	51631	547	0
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	65_	65+	HR	Croatia	39	1	197864	65357	697	60
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	65_	65+	HR	Croatia	16	1	188232	57246	422	41
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	65_	65+	HR	Croatia	17	1	125556	41903	277	23
Valter Flego	Valter Flego	441675022557503	Facebook	65_	65+	HR	Croatia	28	1	113180	30841	472	47
Eclectica		1379977375431894	Facebook	65_	65+	HR	Croatia	1	1	98891	49446	440	88
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	65_	65+	HR	Croatia	18	1	97982	30416	270	17
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	65_	65+	HR	Croatia	70	1	94926	25817	692	7
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	65_	65+	HR	Croatia	42	1	85229	39103	191	56
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	65_	65+	HR	Croatia	7	1	62898	25061	87	10
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	65_	65+	HR	Croatia	15	1	55442	13035	421	51
Ranko Ostojić		414575348695604	Facebook	65_	65+	HR	Croatia	13	1	48069	10700	247	0
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	65_	65+	HR	Croatia	12	1	45314	18922	206	18
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	65_	65+	HR	Croatia	9	1	44625	12399	112	2
Nova ljevica	Markovina Dragan	706769699498076	Facebook	65_	65+	HR	Croatia	14	1	35491	9688	216	0
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	65_	65+	HR	Croatia	6	1	34089	11786	77	7
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	65_	65+	HR	Croatia	6	1	32436	6444	200	26
Željana Zovko		1203134436474667	Facebook	65_	65+	HR	Croatia	19	1	29969	8069	259	0
Zoran Bahtijarević		2195720960680577	Facebook	65_	65+	HR	Croatia	4	1	29013	13473	83	15
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	65_	65+	HR	Croatia	49	1	27258	11563	126	30
Dominik Vuletić		1858121814431190	Facebook	65_	65+	HR	Croatia	4	1	25814	5735	58	0
Stjepan Čuraj		1528272037424751	Facebook	65_	65+	HR	Croatia	3	1	23457	7376	70	8
HSS Hrvatska		236043376446622	Facebook	65_	65+	HR	Croatia	1	1	22636	11318	22	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	65_	65+	HR	Croatia	8	1	20246	4347	68	0
HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	65_	65+	HR	Croatia	9	1	20103	4350	153	0
