spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	DK	Denmark	Venstre, Danmarks Liberale Parti		21465928829	Facebook	380	1	10572272	3014222	68373	17949
0_1k	0 - 1k	DK	Denmark	Liberal Alliance	Liberal Alliance	106952222676974	Facebook	693	1	3443138	746798	27954	5422
0_1k	0 - 1k	DK	Denmark	Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	147	1	2890566	814734	28683	8024
0_1k	0 - 1k	DK	Denmark	Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	108	1	2698896	765514	27110	6753
0_1k	0 - 1k	DK	Denmark	European Parliament		178362315106	Facebook	75	1	2507752	988181	17942	3898
0_1k	0 - 1k	DK	Denmark	Lizette Risgaard		547601668763372	Facebook	70	1	2329355	869215	20428	5130
0_1k	0 - 1k	DK	Denmark	Morten Dahlin	Morten Dahlin	577345799101307	Facebook	178	1	1692571	396955	6154	1057
0_1k	0 - 1k	DK	Denmark	SF	SF	74796954245	Facebook	46	1	1524060	401053	13800	3401
0_1k	0 - 1k	DK	Denmark	Pia Olsen Dyhr	SF	49348971479	Facebook	53	1	1468051	452052	11670	3040
0_1k	0 - 1k	DK	Denmark	Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	31	1	1462821	483373	16337	4140
0_1k	0 - 1k	DK	Denmark	Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	34	1	1407952	382997	11885	2811
0_1k	0 - 1k	DK	Denmark	Red Barnet		67571270393	Facebook	79	1	1384397	375423	16774	4435
0_1k	0 - 1k	DK	Denmark	Mona Juul	Mona Juul	2079067062409423	Facebook	76	1	1167924	338000	10300	2169
0_1k	0 - 1k	DK	Denmark	SE Energi & Klima		169900309711559	Facebook	43	1	1069289	365151	7960	2008
0_1k	0 - 1k	DK	Denmark	Enhedslisten	Enhedslisten	223040066022	Facebook	22	1	918183	274106	5715	1540
0_1k	0 - 1k	DK	Denmark	Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	21	1	905470	264428	10127	3029
0_1k	0 - 1k	DK	Denmark	Danske Medier	Danske Medier	300107073389986	Facebook	47	1	835646	254909	3688	963
0_1k	0 - 1k	DK	Denmark	Folkekirkens Nødhjælp		276770505228	Facebook	86	1	801900	200993	5531	1272
0_1k	0 - 1k	DK	Denmark	Røde Kors		65929129383	Facebook	27	1	776137	176265	7859	2143
0_1k	0 - 1k	DK	Denmark	Morten Østergaard	Radikale Venstre	252520351444054	Facebook	36	1	763950	171997	4909	1031
0_1k	0 - 1k	DK	Denmark	Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	65	1	749933	194999	4972	1298
0_1k	0 - 1k	DK	Denmark	Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	87	1	738766	172997	6025	1606
0_1k	0 - 1k	DK	Denmark	Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	30	1	698961	153996	7641	1834
0_1k	0 - 1k	DK	Denmark	Naser Khader		1995019340791443	Facebook	14	1	695203	197108	8006	1768
0_1k	0 - 1k	DK	Denmark	Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	17	1	689200	208108	7792	1808
