country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CZ	Czechia	w019	Week 19	2257	194	22344544	7426131	75267	18154
CZ	Czechia	w018	Week 18	1445	207	15719474	5748094	56960	17484
CZ	Czechia	w017	Week 17	1107	199	8264235	2535766	36727	10063
CZ	Czechia	w016	Week 16	981	221	10151983	3441154	36428	9064
CZ	Czechia	w015	Week 15	1027	308	6255721	2425176	28271	5324
CZ	Czechia	w014	Week 14	823	307	3264221	1141771	12516	2213
CZ	Czechia	w013	Week 13	576	215	3546010	1351100	15581	3333
CZ	Czechia	w012	Week 12	462	191	3976125	1540171	19037	4016
CZ	Czechia	w011	Week 11	255	113	1167619	324844	3566	661
CZ	Czechia	w010	Week 10	271	98	1416577	465223	2853	525
