week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	BG	Bulgaria	192	64	757991	218301	2573	107
w019	Week 19	2019-05-06	2019-05-12	BG	Bulgaria	406	95	5555784	1762118	20332	1005
w018	Week 18	2019-04-29	2019-05-05	BG	Bulgaria	427	120	4035102	1520347	12348	1074
w017	Week 17	2019-04-22	2019-04-28	BG	Bulgaria	371	113	2574961	1046701	7144	1645
w016	Week 16	2019-04-15	2019-04-21	BG	Bulgaria	421	145	1828197	729370	10466	1531
w015	Week 15	2019-04-08	2019-04-14	BG	Bulgaria	574	207	2377983	941281	8682	1545
w014	Week 14	2019-04-01	2019-04-07	BG	Bulgaria	509	216	2725163	1105355	7071	815
w013	Week 13	2019-03-25	2019-03-31	BG	Bulgaria	400	178	1784441	767202	4399	777
w012	Week 12	2019-03-18	2019-03-24	BG	Bulgaria	346	160	1152208	419694	7373	1013
w011	Week 11	2019-03-11	2019-03-17	BG	Bulgaria	201	90	657774	251261	2179	502
w010	Week 10	2019-03-04	2019-03-10	BG	Bulgaria	199	76	542234	243643	1490	199
w009	Week 9	2019-02-25	2019-03-03	BG	Bulgaria	110	52	99529	25289	681	44
w008	Week 8	2019-02-18	2019-02-24	BG	Bulgaria	88	47	190031	86814	1079	198
w007	Week 7	2019-02-11	2019-02-17	BG	Bulgaria	58	37	27431	9583	159	35
w006	Week 6	2019-02-04	2019-02-10	BG	Bulgaria	44	24	56947	24315	299	49
w005	Week 5	2019-01-28	2019-02-03	BG	Bulgaria	63	22	54804	14756	137	14
w004	Week 4	2019-01-21	2019-01-27	BG	Bulgaria	53	26	208961	98575	337	13
w003	Week 3	2019-01-14	2019-01-20	BG	Bulgaria	51	20	18391	5631	169	1
w002	Week 2	2019-01-07	2019-01-13	BG	Bulgaria	35	17	16015	6728	63	2
w001	Week 1	2019-01-01	2019-01-06	BG	Bulgaria	32	14	38145	15226	298	25
