country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	w019	Week 19	2019-05-06	2019-05-12	404	95	6012775	1905152	22640	1088
BG	Bulgaria	w018	Week 18	2019-04-29	2019-05-05	426	121	4004927	1500191	12283	1052
BG	Bulgaria	w017	Week 17	2019-04-22	2019-04-28	370	113	2535549	1024137	7052	1623
BG	Bulgaria	w016	Week 16	2019-04-15	2019-04-21	418	145	1812780	718863	10434	1522
BG	Bulgaria	w015	Week 15	2019-04-08	2019-04-14	573	207	2383174	941538	8699	1545
BG	Bulgaria	w014	Week 14	2019-04-01	2019-04-07	509	216	2811692	1147207	7165	815
BG	Bulgaria	w013	Week 13	2019-03-25	2019-03-31	399	178	1789818	768296	4408	777
BG	Bulgaria	w012	Week 12	2019-03-18	2019-03-24	346	161	1152405	419772	7374	1014
BG	Bulgaria	w011	Week 11	2019-03-11	2019-03-17	200	90	657845	251293	2179	502
BG	Bulgaria	w010	Week 10	2019-03-04	2019-03-10	198	76	537572	242728	1406	199
BG	Bulgaria	w009	Week 9	2019-02-25	2019-03-03	106	50	99522	25300	681	44
BG	Bulgaria	w008	Week 8	2019-02-18	2019-02-24	85	44	190001	86809	1079	198
BG	Bulgaria	w007	Week 7	2019-02-11	2019-02-17	58	37	27438	9585	159	35
BG	Bulgaria	w006	Week 6	2019-02-04	2019-02-10	44	24	56953	24316	299	49
BG	Bulgaria	w005	Week 5	2019-01-28	2019-02-03	64	23	54831	14761	137	14
BG	Bulgaria	w004	Week 4	2019-01-21	2019-01-27	53	26	208963	98576	337	13
BG	Bulgaria	w003	Week 3	2019-01-14	2019-01-20	51	20	18391	5631	169	1
BG	Bulgaria	w002	Week 2	2019-01-07	2019-01-13	35	17	16015	6728	63	2
BG	Bulgaria	w001	Week 1	2019-01-01	2019-01-06	32	14	38145	15226	298	25
