country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BG	Bulgaria	w019	Week 19	404	95	6012775	1905152	22640	1088
BG	Bulgaria	w018	Week 18	426	121	4004927	1500191	12283	1052
BG	Bulgaria	w017	Week 17	370	113	2535549	1024137	7052	1623
BG	Bulgaria	w016	Week 16	418	145	1812780	718863	10434	1522
BG	Bulgaria	w015	Week 15	573	207	2383174	941538	8699	1545
BG	Bulgaria	w014	Week 14	509	216	2811692	1147207	7165	815
BG	Bulgaria	w013	Week 13	399	178	1789818	768296	4408	777
BG	Bulgaria	w012	Week 12	346	161	1152405	419772	7374	1014
BG	Bulgaria	w011	Week 11	200	90	657845	251293	2179	502
BG	Bulgaria	w010	Week 10	198	76	537572	242728	1406	199
