country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	f18_24	female (18-24)	8407	2654	27851016	11318009	166832	28079
FR	France	m25_34	male (25-34)	10560	2882	27591091	10806242	213681	38028
FR	France	f25_34	female (25-34)	11081	3002	25936330	9940622	208662	35596
FR	France	m18_24	male (18-24)	8086	2566	24091472	9946394	142165	24618
FR	France	f35_44	female (35-44)	11085	2950	21672117	8141757	191134	32577
FR	France	m35_44	male (35-44)	10498	2825	20441617	7850251	178968	32288
FR	France	f45_54	female (45-54)	10606	2827	18033609	6788047	168523	27786
FR	France	m45_54	male (45-54)	10024	2711	15365309	5845164	142661	25181
FR	France	f55_64	female (55-64)	9479	2603	14109526	5266292	135785	21474
FR	France	f65_	female (65+)	8265	2304	10539175	3860058	100114	14851
