country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	f18_24	female (18-24)	8407	2654	27851016	11318009	166832	28079
FR	France	m25_34	male (25-34)	10560	2882	27591091	10806242	213681	38028
FR	France	f25_34	female (25-34)	11081	3002	25936330	9940622	208662	35596
FR	France	m18_24	male (18-24)	8086	2566	24091472	9946394	142165	24618
FR	France	f35_44	female (35-44)	11085	2950	21672117	8141757	191134	32577
FR	France	m35_44	male (35-44)	10498	2825	20441617	7850251	178968	32288
FR	France	f45_54	female (45-54)	10606	2827	18033609	6788047	168523	27786
FR	France	m45_54	male (45-54)	10024	2711	15365309	5845164	142661	25181
FR	France	f55_64	female (55-64)	9479	2603	14109526	5266292	135785	21474
FR	France	f65_	female (65+)	8265	2304	10539175	3860058	100114	14851
FR	France	m55_64	male (55-64)	9024	2521	10420633	3903660	99173	16915
FR	France	m65_	male (65+)	7889	2238	8170896	3028866	75692	12495
FR	France	f13_17	female (13-17)	1222	514	4955963	2077796	12729	1198
FR	France	m13_17	male (13-17)	1211	490	2270721	922857	10859	1133
FR	France	u35_44	unknown (35-44)	8324	2418	634708	233636	5649	890
FR	France	u25_34	unknown (25-34)	7971	2389	567284	210787	4725	708
FR	France	u45_54	unknown (45-54)	7437	2229	364811	134383	3299	523
FR	France	u65_	unknown (65+)	5605	1750	221389	79183	2200	292
FR	France	u55_64	unknown (55-64)	6011	1926	211739	77175	2041	315
FR	France	u18_24	unknown (18-24)	5208	1790	154885	57787	1158	132
FR	France	u13_17	unknown (13-17)	743	376	12273	4719	55	4
