recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	BE	Belgium	1959	251	7860449	2869336	52094	7060
rd2	Last 2 days	2019-05-06	2019-05-07	BE	Belgium	2152	282	17976550	6585035	122375	17401
rd3	Last 3 days	2019-05-05	2019-05-07	BE	Belgium	2334	314	29107622	10879035	195381	30596
rd4	Last 4 days	2019-05-04	2019-05-07	BE	Belgium	2437	329	39391903	14738426	253741	40556
rd5	Last 5 days	2019-05-03	2019-05-07	BE	Belgium	2569	353	49682323	18797853	324257	53431
rd6	Last 6 days	2019-05-02	2019-05-07	BE	Belgium	2669	369	56984743	21661871	375266	62565
rw1	Last week	2019-05-01	2019-05-07	BE	Belgium	2793	385	63970713	24433763	414418	69117
rw2	Last 2 weeks	2019-04-24	2019-05-07	BE	Belgium	3894	567	118959965	45899454	790978	136741
rw3	Last 3 weeks	2019-04-17	2019-05-07	BE	Belgium	4656	709	152914704	58992283	1018786	175481
rw4	Last 4 weeks	2019-04-10	2019-05-07	BE	Belgium	5608	970	173021388	66467906	1160426	196844
rm1	Last month	2019-04-08	2019-05-07	BE	Belgium	5815	1044	178804159	68608617	1196246	203337
rm2	Last 2 months	2019-03-09	2019-05-07	BE	Belgium	8076	1666	210741813	80138362	1406517	232231
rm3	Last 3 months	2019-02-07	2019-05-07	BE	Belgium	8524	1757	217905569	82836879	1460882	241807
rm6	Last 6 months	2019-01-01	2019-05-07	BE	Belgium	8763	1788	222331381	84689659	1490788	248040
