country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SI	Slovenia	w019	Week 19	2019-05-06	2019-05-12	438	74	3734456	1163208	27535	1796
SI	Slovenia	w018	Week 18	2019-04-29	2019-05-05	448	98	4779147	1830120	21611	3886
SI	Slovenia	w017	Week 17	2019-04-22	2019-04-28	415	102	2954252	1183561	18073	2694
SI	Slovenia	w016	Week 16	2019-04-15	2019-04-21	404	133	785178	242296	4002	161
SI	Slovenia	w015	Week 15	2019-04-08	2019-04-14	549	200	1407453	540027	6194	746
SI	Slovenia	w014	Week 14	2019-04-01	2019-04-07	453	200	1143617	375098	5193	493
SI	Slovenia	w013	Week 13	2019-03-25	2019-03-31	296	143	623420	222272	2110	203
SI	Slovenia	w012	Week 12	2019-03-18	2019-03-24	261	131	432990	125503	2552	76
SI	Slovenia	w011	Week 11	2019-03-11	2019-03-17	164	82	605808	200849	2242	298
SI	Slovenia	w010	Week 10	2019-03-04	2019-03-10	204	72	435676	148554	2202	151
SI	Slovenia	w009	Week 9	2019-02-25	2019-03-03	99	47	46359	14178	594	8
SI	Slovenia	w008	Week 8	2019-02-18	2019-02-24	74	42	48990	23079	219	45
SI	Slovenia	w007	Week 7	2019-02-11	2019-02-17	54	33	22442	5039	58	4
SI	Slovenia	w006	Week 6	2019-02-04	2019-02-10	54	25	227287	52828	585	35
SI	Slovenia	w005	Week 5	2019-01-28	2019-02-03	57	22	40284	10161	107	6
SI	Slovenia	w004	Week 4	2019-01-21	2019-01-27	43	16	3098	1198	17	1
SI	Slovenia	w003	Week 3	2019-01-14	2019-01-20	57	21	54029	23450	237	42
SI	Slovenia	w002	Week 2	2019-01-07	2019-01-13	43	21	60798	12326	412	1
SI	Slovenia	w001	Week 1	2019-01-01	2019-01-06	29	14	6448	2894	27	4
