advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	rw1	Last week	4999	1	13337001	2324999	494901	0
European Parliament	European Parliament	178362315106	Facebook	rw1	Last week	39	1	8719961	3797000	49261	14400
Gouvernement	Gouvernement	392341217527576	Facebook	rw1	Last week	30	1	5509969	2225000	9569	2199
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	rw1	Last week	21	1	5115979	2325000	16523	4860
Fidesz	Fidesz	9844779306	Facebook	rw1	Last week	18	1	3249982	1480000	14702	6530
SOCIALDEMOKRATIET		AR271193993235136512	Google	rw1	Last week	38	1	3212738	303273	40735	714
FDP	FDP	21289227249	Facebook	rw1	Last week	860	1	2859140	460999	86339	299
Avaaz	Avaaz	8340223883	Facebook	rw1	Last week	10	1	2849990	1130000	4690	1200
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rw1	Last week	855	1	2327144	397999	85445	199
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	rw1	Last week	28	1	2264972	848000	8993	2082
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rw1	Last week	65	1	2249934	889000	5501	1799
Conservatives	The Conservative Party	8807334278	Facebook	rw1	Last week	730	1	1816269	290000	84555	231
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	rw1	Last week	38	1	1772961	638000	5761	499
INBOX	New Digital Media	369693523475596	Facebook	rw1	Last week	15	1	1714984	743000	2285	199
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rw1	Last week	9	1	1619991	777000	22291	7700
The Labour Party	The Labour Party	25749647410	Facebook	rw1	Last week	10	1	1549989	680000	12370	3818
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	rw1	Last week	5	1	1449994	610000	3465	756
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rw1	Last week	19	1	1405980	551000	4694	1279
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	rw1	Last week	5	1	1299995	550000	2674	535
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	rw1	Last week	3	1	1199997	600000	6497	1600
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	rw1	Last week	1060	1	1102939	11000	104940	0
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	rw1	Last week	4	1	1100996	450000	3628	1419
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	rw1	Last week	3	1	1009997	405000	10097	1999
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	rw1	Last week	1	1	999999	500000	498	99
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rw1	Last week	281	1	977719	222000	32191	0
