recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	26458	3228	168285891	59457308	1674288	283890
rd2	Last 2 days	2019-05-25	2019-05-26	38188	4346	417324631	148236386	4038100	673429
rd3	Last 3 days	2019-05-24	2019-05-26	54025	5666	811292930	291818320	7074318	1178353
rd4	Last 4 days	2019-05-23	2019-05-26	67673	6034	1207579057	437243540	10370973	1696522
rd5	Last 5 days	2019-05-22	2019-05-26	74977	6278	1552644458	565854023	13004229	2161743
rd6	Last 6 days	2019-05-21	2019-05-26	80837	6377	1812923735	661594489	15031215	2480407
rw1	Last week	2019-05-20	2019-05-26	89260	6447	2061804770	741047424	16899507	2711936
rw2	Last 2 weeks	2019-05-13	2019-05-26	114946	6673	4674026627	1039904571	30695864	3179055
rw3	Last 3 weeks	2019-05-06	2019-05-26	122587	6676	5859554544	1150820987	36182728	3327879
rw4	Last 4 weeks	2019-04-29	2019-05-26	123801	6676	6487322841	1210948032	38520783	3408587
rm1	Last month	2019-04-27	2019-05-26	123898	6676	6639147118	1225922768	38937613	3428694
rm2	Last 2 months	2019-03-28	2019-05-26	130096	6701	7866621615	1343167238	45451060	3590349
rm3	Last 3 months	2019-02-26	2019-05-26	130223	6701	7912223741	1347540999	45745485	3596896
rm6	Last 6 months	2019-01-01	2019-05-26	130223	6701	7912223741	1347540999	45745485	3596896
