advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	rd5	Last 5 days	305	1	58531403	26315833	327063	74799
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd5	Last 5 days	3820	1	40761392	11856200	474899	31323
European Commission	European Commission	107898832590939	Facebook	rd5	Last 5 days	93	1	25413014	11902238	81305	20841
European Greens	European Greens	141366725876424	Facebook	rd5	Last 5 days	79	1	22284595	10060500	188462	45216
CDU	CDU	78502295414	Facebook	rd5	Last 5 days	8945	1	21811797	4665521	739571	3142
Fidesz	Fidesz	9844779306	Facebook	rd5	Last 5 days	89	1	16619916	7276000	94029	40545
Best For Britain	Best for Britain	1863944713844924	Facebook	rd5	Last 5 days	88	1	16551246	6903666	125011	28158
SPD	SPD	47930567748	Facebook	rd5	Last 5 days	2869	1	16143802	4033000	328302	10733
Avaaz	Avaaz	8340223883	Facebook	rd5	Last 5 days	120	1	15041936	6436285	95375	22069
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	rd5	Last 5 days	3688	1	14928172	3341233	439908	10920
FDP	FDP	21289227249	Facebook	rd5	Last 5 days	1893	1	14562658	4304406	165133	6780
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	rd5	Last 5 days	222	1	11468516	4720900	159383	40146
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	rd5	Last 5 days	59	1	11236114	4940166	69122	17141
Open Vld	Open Vld	53668151866	Facebook	rd5	Last 5 days	100	1	10915917	4679424	127776	32290
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	rd5	Last 5 days	60	1	10855132	4879999	80038	17647
Ciudadanos	Ciudadanos	74078667754	Facebook	rd5	Last 5 days	146	1	10620364	4373000	123664	29869
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	rd5	Last 5 days	306	1	9825730	3539700	97995	17685
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd5	Last 5 days	56	1	9282748	4063164	26813	6589
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd5	Last 5 days	17	1	9024983	4369999	88233	30500
Moderaterna	Moderaterna	7719591155	Facebook	rd5	Last 5 days	122	1	8843269	3502127	139834	33849
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	rd5	Last 5 days	43	1	8284827	3650977	124302	40028
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd5	Last 5 days	293	1	8251289	3345857	41697	7928
CD&V	CD&V	52997544531	Facebook	rd5	Last 5 days	148	1	8154585	3079180	64691	12186
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd5	Last 5 days	103	1	7705372	3325576	23199	10062
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	rd5	Last 5 days	19	1	7594872	3530714	36124	8249
