advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	rd2	Last 2 days	3650	1	22946909	6746133	269298	18181
European Parliament	European Parliament	178362315106	Facebook	rd2	Last 2 days	176	1	20929380	9369616	142693	31868
CDU	CDU	78502295414	Facebook	rd2	Last 2 days	5898	1	11626877	2375761	424275	1857
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	rd2	Last 2 days	59	1	6796638	2974999	43924	10384
FDP	FDP	21289227249	Facebook	rd2	Last 2 days	1856	1	6139646	1866796	71990	3612
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	rd2	Last 2 days	17	1	6063321	2926666	59821	19066
Fidesz	Fidesz	9844779306	Facebook	rd2	Last 2 days	42	1	5721960	2521000	41407	18197
European Greens	European Greens	141366725876424	Facebook	rd2	Last 2 days	34	1	5023566	2255250	50482	12924
Moderaterna	Moderaterna	7719591155	Facebook	rd2	Last 2 days	120	1	4676228	1861497	70257	18664
DIE LINKE	DIE LINKE	47694585682	Facebook	rd2	Last 2 days	605	1	4263718	1158484	40217	842
Sebastian Kurz	Volkspartei	105151752909840	Facebook	rd2	Last 2 days	20	1	4083315	1846666	42615	9116
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	rd2	Last 2 days	46	1	3805715	1628333	50436	16522
Open Vld	Open Vld	53668151866	Facebook	rd2	Last 2 days	74	1	3774933	1577769	40500	9136
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rd2	Last 2 days	74	1	3544239	1541590	12202	5203
CD&V	CD&V	52997544531	Facebook	rd2	Last 2 days	124	1	3301806	1297795	31144	6123
SPD	SPD	47930567748	Facebook	rd2	Last 2 days	712	1	3137967	765000	76550	1716
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	rd2	Last 2 days	346	1	3080235	1079823	72395	16107
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rd2	Last 2 days	19	1	2976180	1369285	9160	4212
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	rd2	Last 2 days	44	1	2922270	1282793	35899	8550
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	rd2	Last 2 days	144	1	2701170	1035690	8283	3143
European Commission	European Commission	107898832590939	Facebook	rd2	Last 2 days	44	1	2676992	1253500	13325	3299
Vlaams Belang	Vlaams Belang	56605856504	Facebook	rd2	Last 2 days	25	1	2635109	1145690	41325	10036
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	rd2	Last 2 days	117	1	2618383	953771	4986	1743
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	rd2	Last 2 days	14	1	2569986	1237000	16886	3900
sp.a	sp.a	57253967150	Facebook	rd2	Last 2 days	26	1	2526176	1048476	9996	2771
