country_code_filter	country_name_filter	week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	w020	Week 20	2019-05-13	2019-05-15	998	224	12184234	5062360	77634	14570
FR	France	w019	Week 19	2019-05-06	2019-05-12	1112	313	14586695	5803164	87199	17083
FR	France	w018	Week 18	2019-04-29	2019-05-05	1309	365	16615820	7129623	100160	19634
FR	France	w017	Week 17	2019-04-22	2019-04-28	1504	426	10091012	4027991	62736	10309
FR	France	w016	Week 16	2019-04-15	2019-04-21	1829	624	14057374	5687751	101797	14604
FR	France	w015	Week 15	2019-04-08	2019-04-14	2602	1013	22714337	8790392	169695	30265
FR	France	w014	Week 14	2019-04-01	2019-04-07	2779	1053	21287492	7941143	225219	29154
FR	France	w013	Week 13	2019-03-25	2019-03-31	2182	899	20809999	7556000	189416	30572
FR	France	w012	Week 12	2019-03-18	2019-03-24	2315	802	23336523	8807779	212428	25109
FR	France	w011	Week 11	2019-03-11	2019-03-17	1818	580	22556133	8967044	208162	31301
FR	France	w010	Week 10	2019-03-04	2019-03-10	1399	457	16095918	6138706	160019	27292
FR	France	w009	Week 9	2019-02-25	2019-03-03	522	187	7951547	3215887	67632	11970
FR	France	w008	Week 8	2019-02-18	2019-02-24	359	148	2780162	871049	20454	2980
FR	France	w007	Week 7	2019-02-11	2019-02-17	353	123	3692930	1239210	40029	6563
FR	France	w006	Week 6	2019-02-04	2019-02-10	254	98	1650647	545397	15609	2110
FR	France	w005	Week 5	2019-01-28	2019-02-03	304	88	5111808	2151150	41759	7950
FR	France	w004	Week 4	2019-01-21	2019-01-27	252	72	3375381	1447051	22562	3452
FR	France	w003	Week 3	2019-01-14	2019-01-20	205	72	1691996	600907	12785	1648
FR	France	w002	Week 2	2019-01-07	2019-01-13	169	65	1834643	617273	16928	3269
FR	France	w001	Week 1	2019-01-01	2019-01-06	128	50	2469827	986981	16167	3276
