advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w019	Week 19	83	1	22305861	10279480	132699	34633
CDU	CDU	78502295414	Facebook	w019	Week 19	3170	1	19323915	4637500	173515	4150
AMERISOFT SRL		AR573801583431647232	Google	w019	Week 19	108	1	16411301	1628122	2817	0
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	w019	Week 19	109	1	14965834	6545748	34519	7252
mmb media agentur d.o.o.		AR524572049809604608	Google	w019	Week 19	1305	1	14717670	635714	43931	0
România în primul rând	Future Innovation	770704223323599	Facebook	w019	Week 19	54	1	14708826	6517721	14218	3624
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	w019	Week 19	1793	1	14265451	274977	58953	0
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	w019	Week 19	35	1	12020253	5673036	26170	8943
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	w019	Week 19	359	1	11885899	4716720	59432	10884
Mediabrands Digital OÜ		AR530356305605427200	Google	w019	Week 19	336	1	11819999	939999	16800	0
COALICION CANARIA		AR489541609348661248	Google	w019	Week 19	1044	1	11070000	70000	52199	0
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	w019	Week 19	104	1	10954919	4619020	33649	9642
FDP	FDP	21289227249	Facebook	w019	Week 19	1365	1	9534111	3014753	84552	5541
SPD	SPD	47930567748	Facebook	w019	Week 19	2510	1	9486123	2037476	265913	5353
European Greens		141366725876424	Facebook	w019	Week 19	42	1	8872545	4019261	56507	14716
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	w019	Week 19	51	1	8256957	3454000	10997	1700
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	w019	Week 19	24	1	8198469	3851807	17698	7667
sp.a	sp.a	57253967150	Facebook	w019	Week 19	222	1	8134463	3046265	40197	7322
SPÖ	SPÖ	77393060080	Facebook	w019	Week 19	570	1	7685001	2667493	63572	10856
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	w019	Week 19	273	1	7440916	558750	12060	0
Fidesz	Fidesz	9844779306	Facebook	w019	Week 19	43	1	7349958	3530000	25690	12690
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	w019	Week 19	59	1	7077041	3124749	14297	3970
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	w019	Week 19	772	1	6614257	2214345	85848	13116
Parlement européen en France	Parlement européen en France	279757933824	Facebook	w019	Week 19	72	1	6514964	2757500	36214	9050
Open Vld	Open Vld	53668151866	Facebook	w019	Week 19	288	1	6510311	2379997	47261	8933
