advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Volt Nederland	Volt Nederland	146644665960101	Facebook	NL	Netherlands	134	1	3727866	1474000	25266	3600
European Parliament	European Parliament	178362315106	Facebook	NL	Netherlands	14	1	3084356	1374490	23914	5325
VVD	VVD	121264564551002	Facebook	NL	Netherlands	32	1	2894968	1290000	17068	3300
D66	D66	52985377549	Facebook	NL	Netherlands	27	1	2890931	1276991	14472	2999
Partij van de Arbeid (PvdA)	Partij van de Arbeid (PvdA)	113895885305052	Facebook	NL	Netherlands	33	1	2890647	1166924	13966	4599
GroenLinks	GroenLinks	175740570505	Facebook	NL	Netherlands	31	1	2634968	1133999	25068	6199
CDA	CDA	320374518118	Facebook	NL	Netherlands	8	1	2599992	1170000	14492	3800
De Goede Zaak	DeGoedeZaak	264564577356897	Facebook	NL	Netherlands	9	1	1714988	725998	17290	3699
Elke Stem Telt	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	1443518785699143	Facebook	NL	Netherlands	5	1	1699994	769999	7094	1699
Jesse Klaver	GroenLinks	687496011309020	Facebook	NL	Netherlands	3	1	1099997	450000	10497	2100
ChristenUnie	ChristenUnie	211661062254003	Facebook	NL	Netherlands	21	1	1019979	505000	6479	1100
Partij voor de Dieren	Partij voor de Dieren	102287806490622	Facebook	NL	Netherlands	16	1	983815	409531	7574	2596
Esther de Lange	Esther de Lange	206205079489175	Facebook	NL	Netherlands	10	1	910989	394999	2589	399
CDA Zuid-Holland	CDA Zuid-Holland	1523833891223465	Facebook	NL	Netherlands	50	1	897950	348000	6150	300
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	NL	Netherlands	4	1	599996	300000	3496	1600
Henk Jan Ormel	CDA	823537391322678	Facebook	NL	Netherlands	2	1	509918	204960	1097	500
Paul Tang	PvdA	208020512703248	Facebook	NL	Netherlands	6	1	414994	176000	1794	300
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	NL	Netherlands	13	1	406316	155846	1618	269
European Greens	European Greens	141366725876424	Facebook	NL	Netherlands	3	1	360803	178403	8718	1744
Gert-Jan Segers	ChristenUnie	147772805659767	Facebook	NL	Netherlands	7	1	354992	101000	3592	1000
Daan Versteeg	Versteeg Daniel R	1010657719133321	Facebook	NL	Netherlands	44	1	343956	98000	5156	200
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	NL	Netherlands	5	1	339769	138386	2769	1036
College voor de Rechten van de Mens	College voor de Rechten van de Mens	176804439190262	Facebook	NL	Netherlands	8	1	321992	127000	2092	600
SP	SP	128393027527	Facebook	NL	Netherlands	16	1	295984	94000	3284	700
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	NL	Netherlands	25	1	289928	86396	2137	174
Malik Azmani	Malik Azmani	1734459723547461	Facebook	NL	Netherlands	26	1	287968	99998	3373	199
European Commission	European Commission	107898832590939	Facebook	NL	Netherlands	21	1	232498	107895	352	100
Theo Alkemade	Alkemade Theodoor C W M	298059754467115	Facebook	NL	Netherlands	9	1	208991	41000	891	0
Agnes Jongerius	Partij van de Arbeid (PvdA)	764061133777036	Facebook	NL	Netherlands	5	1	169917	39984	494	0
Vera Tax	PvdA	712637722497338	Facebook	NL	Netherlands	4	1	159413	34851	793	100
Natuur & Milieu	Natuur & Milieu	156571571036057	Facebook	NL	Netherlands	2	1	149997	59999	197	0
VoteEuropa Nederland	Lacsamana Marlon Toledo	373618906826123	Facebook	NL	Netherlands	3	1	149584	29917	1093	199
Jacques Michel Bloi - VVD #13 voor Europa	Bloi Jacques M	1435938086636544	Facebook	NL	Netherlands	3	1	109997	25000	297	0
Kati Piri	PvdA	254626848046622	Facebook	NL	Netherlands	3	1	109997	25000	297	0
Eveline Herben	Herben Eveline Marie	350805055554039	Facebook	NL	Netherlands	21	1	107966	24998	2478	100
Stem Roy Europa in	Van Run Jan Joep Willem	285840025653872	Facebook	NL	Netherlands	3	1	104997	21000	1097	200
Jeroen Janssen - kandidaat Europarlementariër	Van Oosterbosch Benjamin	921841297985499	Facebook	NL	Netherlands	3	1	104997	21000	297	0
Prove Them Wrong	Prove Them Wrong	435711596958375	Facebook	NL	Netherlands	3	1	104997	21000	297	0
D66 Overijssel	D66	153430294762818	Facebook	NL	Netherlands	1	1	99999	50000	499	100
PvdA Amsterdam	Partij van de Arbeid (PvdA)	170060616402275	Facebook	NL	Netherlands	1	1	99999	50000	499	100
Bas Eickhout	GroenLinks	208578955894331	Facebook	NL	Netherlands	2	1	99997	19999	997	199
D66 Enschede	D66	123661660977745	Facebook	NL	Netherlands	1	1	99361	49681	495	99
Toine Manders		435867793202351	Facebook	NL	Netherlands	5	1	75877	20976	882	99
GroenLinks Den Haag	GroenLinks Den Haag	133610523380150	Facebook	NL	Netherlands	4	1	65996	15999	796	100
Jeroen Lenaers	Jeroen Lenaers	316960281776479	Facebook	NL	Netherlands	7	1	64024	30527	683	0
Werk gezocht		439982882734383	Facebook	NL	Netherlands	3	1	60997	15000	297	0
Rainbow Rose	Rainbow Rose	572653266147067	Facebook	NL	Netherlands	2	1	59998	15000	598	100
D66 Utrecht	D66	272033265993	Facebook	NL	Netherlands	2	1	59998	15000	198	0
CDA Overijssel	CDA Overijssel	206932742776182	Facebook	NL	Netherlands	2	1	59998	15000	198	0
PvdA Haarlem	Partij van de Arbeid	374461422625101	Facebook	NL	Netherlands	6	1	58994	11000	994	100
Pieter Paul Slikker - PvdA 073	PvdA Den Bosch	509675125832784	Facebook	NL	Netherlands	2	1	54998	11000	198	0
Susținători USR Olanda	Uniunea Salvați România - USR	287790698753359	Facebook	NL	Netherlands	2	1	54998	11000	598	100
GroenLinks Rotterdam	GroenLinks Rotterdam	116050085145365	Facebook	NL	Netherlands	2	1	54998	11000	198	0
Tom Berendsen	2R Development	2301184920146129	Facebook	NL	Netherlands	2	1	50927	9985	597	99
Mensen met een Missie	Klaassen Danny	261743583890104	Facebook	NL	Netherlands	1	1	49999	10000	99	0
GroenLinks Sittard-Geleen		386396184818902	Facebook	NL	Netherlands	1	1	49999	10000	99	0
Rosa_Molenaar		372789573197562	Facebook	NL	Netherlands	1	1	49999	9999	499	100
VVD Goeree-Overflakkee	VVD Goeree-Overflakkee	305812906126532	Facebook	NL	Netherlands	1	1	49999	10000	499	100
De Balie	De Balie	259613427387423	Facebook	NL	Netherlands	6	1	31994	12000	594	0
Oxfam Novib	Oxfam Novib	115289021825188	Facebook	NL	Netherlands	6	1	31994	12000	594	0
DSM Bright Science Brighter Living		188811517806232	Facebook	NL	Netherlands	1	1	28261	5652	55	0
Stichting De Noordzee	Stichting De Noordzee	128160633899802	Facebook	NL	Netherlands	4	1	25995	10999	395	0
Jimmy Bastings	Bastings Jimmy Anna Hubertus	2262432790696805	Facebook	NL	Netherlands	3	1	24852	10927	295	0
Catharina Rinzema		2114625695290780	Facebook	NL	Netherlands	2	1	23517	4703	135	0
Raoul Boucke	Raoul Boucke	1378051212479416	Facebook	NL	Netherlands	6	1	17994	3000	593	0
Vote4Friendship		335742437041631	Facebook	NL	Netherlands	1	1	17944	3588	179	35
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	NL	Netherlands	13	1	15202	6078	46	7
Maurice Hoogeveen	Hoogeveen Willem M	577556976024596	Facebook	NL	Netherlands	3	1	14997	3000	297	0
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	NL	Netherlands	1	1	14050	7025	35	7
VVD Leidschendam-Voorburg	VVD Leidschendam-Voorburg	498944610134140	Facebook	NL	Netherlands	3	1	10997	2000	297	0
Michael Pistecky	Pistecky Michal Vladimir	2022603798035877	Facebook	NL	Netherlands	3	1	10996	1999	296	0
Boaz Adank	Boost Breda	897610483722357	Facebook	NL	Netherlands	1	1	9999	5000	99	0
Pvda Den Bosch	PvdA Den Bosch	627201893971363	Facebook	NL	Netherlands	1	1	9999	5000	99	0
PerspectieF, ChristenUnie-jongeren	PerspectieF ChristenUnie-jongeren	209648345740233	Facebook	NL	Netherlands	1	1	9999	5000	99	0
Beercoo Schoonmaakgroep		186356714730081	Facebook	NL	Netherlands	1	1	9999	5000	99	0
ABN AMRO		206592029351928	Facebook	NL	Netherlands	1	1	9999	4999	98	0
PvdA Rotterdam	PvdA Rotterdam	340871992590484	Facebook	NL	Netherlands	2	1	9998	2000	198	0
Winq.nl	Winq.nl	120087784724637	Facebook	NL	Netherlands	1	1	9998	4999	98	0
VVD Leiden	VVD Leiden	145751698819583	Facebook	NL	Netherlands	2	1	9998	2000	198	0
PvdA Enschede	PvdA Enschede	436001856449324	Facebook	NL	Netherlands	2	1	9998	2000	198	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	NL	Netherlands	2	1	8767	3908	19	6
De Liberalisten	Jorick Werkhoven	193566098045383	Facebook	NL	Netherlands	4	1	7996	1000	396	0
Peter Mertens	PVDA	236485149843971	Facebook	NL	Netherlands	37	1	7048	2985	56	15
Sense Mesura		1606564102740842	Facebook	NL	Netherlands	45	1	6433	0	637	0
GroenLinks Lochem		661049547329075	Facebook	NL	Netherlands	2	1	5998	1000	198	0
Europees Parlement Nederland	Europees Parlement Nederland	270788920480	Facebook	NL	Netherlands	2	1	5998	1000	198	0
Andor Admiraal	Admiraal Andor	339803596625568	Facebook	NL	Netherlands	6	1	5994	0	594	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	NL	Netherlands	2	1	5808	1404	101	0
Zero House Solutions		705854649778213	Facebook	NL	Netherlands	1	1	4999	1000	98	0
PvdA Stichtse Vecht	Van Der Wijck George Michael Theodoor	1715340175444649	Facebook	NL	Netherlands	1	1	4999	1000	99	0
VVD Alphen a/d Rijn	Leenaerts Bas M	473422542679870	Facebook	NL	Netherlands	1	1	4999	999	99	0
WECF Nederland - Women Engage for a Common Future		156890504400941	Facebook	NL	Netherlands	1	1	4998	1000	99	0
lunaslatexx	Berkers Julia Floor	1275687902594977	Facebook	NL	Netherlands	3	1	2996	0	296	0
