advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rädda Barnen		72659261793	Facebook	f	Facebook	SE	Sweden	571	1	16222856	5208775	142065	35782
Plan International Sverige		382243262003	Facebook	f	Facebook	SE	Sweden	355	1	12995269	4376912	107259	26207
Vattenfall Sverige		608975645850217	Facebook	f	Facebook	SE	Sweden	28	1	8720939	3979983	106226	30467
Centerpartiet	Centerpartiet	12690894340	Facebook	f	Facebook	SE	Sweden	235	1	7414582	2590934	90338	21928
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	f	Facebook	SE	Sweden	164	1	5610832	1779999	82683	21799
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	f	Facebook	SE	Sweden	37	1	5170957	2181997	59932	15956
EU-kommissionen i Sverige		155824787799	Facebook	f	Facebook	SE	Sweden	21	1	4550828	2185925	19803	4769
Liberalerna	Liberalerna	132266740623	Facebook	f	Facebook	SE	Sweden	101	1	4016898	1475999	23240	6630
European Commission		107898832590939	Facebook	f	Facebook	SE	Sweden	16	1	3962834	1753432	33297	9900
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	f	Facebook	SE	Sweden	341	1	3153217	858674	20755	4757
Fotografiska Stockholm		142320852554	Facebook	f	Facebook	SE	Sweden	10	1	3054990	1331000	2221	500
Facebook Nordic	Facebook	334318366655425	Facebook	f	Facebook	SE	Sweden	5	1	3049994	1409999	18613	3750
Moderaterna	Moderaterna	7719591155	Facebook	f	Facebook	SE	Sweden	135	1	2929864	681999	28084	6714
Sverige för UNHCR		643137272398136	Facebook	f	Facebook	SE	Sweden	96	1	2765795	806978	13233	3537
Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	f	Facebook	SE	Sweden	13	1	2659442	1124805	21942	4694
European Parliament		178362315106	Facebook	f	Facebook	SE	Sweden	78	1	2580548	1080783	20887	5209
Röda Korset		111630258867610	Facebook	f	Facebook	SE	Sweden	72	1	2452850	650983	11189	3389
LO Sverige		163820136238	Facebook	f	Facebook	SE	Sweden	7	1	2299441	999769	21294	5092
European Greens		141366725876424	Facebook	f	Facebook	SE	Sweden	48	1	2253638	1013035	33032	7942
Jörgen Warborn EU-kandidat		56002955332	Facebook	f	Facebook	SE	Sweden	98	1	2220532	572883	23537	5879
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	f	Facebook	SE	Sweden	10	1	2204987	1020998	12269	2787
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	f	Facebook	SE	Sweden	31	1	2180973	831735	17139	7146
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	f	Facebook	SE	Sweden	41	1	2105955	718998	17378	3908
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	f	Facebook	SE	Sweden	75	1	1915918	472996	17514	4222
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	f	Facebook	SE	Sweden	108	1	1854891	520999	14621	4111
