recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	MT	Malta	56	23	297244	82975	2101	168
rd2	Last 2 days	2019-05-25	2019-05-26	MT	Malta	132	37	1557104	494013	8779	1124
rd3	Last 3 days	2019-05-24	2019-05-26	MT	Malta	217	50	3420183	1128106	18746	2481
rd4	Last 4 days	2019-05-23	2019-05-26	MT	Malta	459	60	6298233	2030823	38535	4265
rd5	Last 5 days	2019-05-22	2019-05-26	MT	Malta	530	62	9546686	3134556	57471	6393
rd6	Last 6 days	2019-05-21	2019-05-26	MT	Malta	581	63	12371118	4062793	76420	8668
rw1	Last week	2019-05-20	2019-05-26	MT	Malta	618	65	15357838	5163321	98480	12542
rw2	Last 2 weeks	2019-05-13	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rw3	Last 3 weeks	2019-05-06	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rw4	Last 4 weeks	2019-04-29	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rm1	Last month	2019-04-27	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rm2	Last 2 months	2019-03-28	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rm3	Last 3 months	2019-02-26	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
rm6	Last 6 months	2019-01-01	2019-05-26	MT	Malta	636	66	17818920	6006060	118192	15232
