day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d127	2019-05-07	22207	2858	64876859	22196355	485301	47048
d126	2019-05-06	24368	3244	85747351	29502389	624506	65125
d125	2019-05-05	23747	3289	86901868	31058965	584535	71738
d124	2019-05-04	23269	3287	91893279	33292173	565903	76821
d123	2019-05-03	24076	3503	107135306	38989835	704652	99581
d122	2019-05-02	26017	3890	92338407	31904808	815693	80880
d121	2019-05-01	20882	3817	71961646	26042329	581577	79027
d120	2019-04-30	22911	3909	77958340	27513966	625174	75203
d119	2019-04-29	20361	3750	81347230	30357843	541210	84418
d118	2019-04-28	18673	3576	59173385	22013919	407628	59067
d117	2019-04-27	18223	3592	58347779	21796676	360968	55197
d116	2019-04-26	22674	3613	129027912	50240603	902148	146540
d115	2019-04-25	21873	3544	121782223	45114064	969460	140380
d114	2019-04-24	18835	3444	97091343	36234931	725269	104378
d113	2019-04-23	16378	3362	81537816	30809513	570155	83631
d112	2019-04-22	13617	3279	58770685	22596695	338683	53388
d111	2019-04-21	13500	3359	54358761	20867593	314814	45802
d110	2019-04-20	13773	3517	52273150	19674781	334196	46426
d109	2019-04-19	14454	3700	53491834	19696416	336011	44441
d108	2019-04-18	14816	3802	61657795	20803911	442757	48025
d107	2019-04-17	14461	3845	61962840	21493626	436641	51432
d106	2019-04-16	14276	3971	66381491	23586152	449944	54768
d105	2019-04-15	14195	4304	71768799	26376078	483063	67499
d104	2019-04-14	12917	4358	45003435	16794258	258660	38065
d103	2019-04-13	12889	4477	46652817	17529741	266100	37713
d102	2019-04-12	14041	4649	65770863	24792282	452493	60970
d101	2019-04-11	13171	4545	55745429	20771226	371519	54766
d100	2019-04-10	12253	4400	44635542	16421809	310652	44064
d099	2019-04-09	11804	4202	49030378	17712898	363431	52168
d098	2019-04-08	12099	4096	47741491	16878282	451901	57247
d097	2019-04-07	10197	3916	32280604	11609664	212038	30115
d096	2019-04-06	10223	3966	33264874	12039630	215848	30835
d095	2019-04-05	10873	4099	41969940	14919526	290904	38912
d094	2019-04-04	9890	3962	38432261	13654124	288133	40795
d093	2019-04-03	9229	3690	30931807	10743353	220345	28808
d092	2019-04-02	8575	3442	32012603	11194524	231851	32549
d091	2019-04-01	8340	3291	30581679	10720610	237701	28986
d090	2019-03-31	8394	3219	26017219	9354500	192546	27566
d089	2019-03-30	8443	3270	26300573	9321603	182858	24957
d088	2019-03-29	8743	3384	34378693	12540337	239835	34930
d087	2019-03-28	8478	3239	32128731	11736545	241863	34996
d086	2019-03-27	8054	3066	35486283	13292200	247147	36903
d085	2019-03-26	8259	2946	30926696	11398817	235165	33924
d084	2019-03-25	8952	2943	28576183	9785459	288692	32060
d083	2019-03-24	8509	2912	23825274	8280123	211082	22924
d082	2019-03-23	7832	2982	23434165	8403189	171741	21702
d081	2019-03-22	8689	3169	34422233	12864251	302266	42590
d080	2019-03-21	8238	3139	33459404	12039556	268327	33388
d079	2019-03-20	8230	2944	34030297	12291956	270075	32871
d078	2019-03-19	7407	2810	29880171	10508858	242586	32290
d077	2019-03-18	6763	2692	26306353	9180727	200516	27285
d076	2019-03-17	6066	2515	20332876	7061335	143493	21070
d075	2019-03-16	6077	2586	21168843	7674354	156063	24549
d074	2019-03-15	6611	2702	30407225	10928284	240945	30686
d073	2019-03-14	6053	2433	25914419	9485244	195424	27001
d072	2019-03-13	5486	2301	22624390	8165288	180836	23938
d071	2019-03-12	5650	2305	23899219	8783640	166199	21650
d070	2019-03-11	5383	2190	27822249	10627990	183163	25919
d069	2019-03-10	4937	2095	18334954	6750979	114016	15878
d068	2019-03-09	5248	2331	24082914	9075907	158050	21898
d067	2019-03-08	5410	2327	31362307	11926357	188166	30730
d066	2019-03-07	4889	1799	26501683	10410831	166214	20597
d065	2019-03-06	4027	1580	15677012	5467777	124413	18056
d064	2019-03-05	3755	1456	13411760	4553835	94455	11375
d063	2019-03-04	3840	1386	20404173	7491407	137421	19985
d062	2019-03-03	3289	1283	9379112	3230778	68357	9652
d061	2019-03-02	3308	1255	11078642	4024119	83240	12416
d060	2019-03-01	3305	1235	12606450	4524043	85879	12905
d059	2019-02-28	3278	1091	10990744	3876578	85378	13631
d058	2019-02-27	3216	1005	12739463	4552436	90420	14108
d057	2019-02-26	3044	951	11494139	4029360	95564	13512
d056	2019-02-25	3051	898	11011614	3884301	108084	16146
d055	2019-02-24	2904	829	6447914	2147269	83113	9282
d054	2019-02-23	2751	843	6692563	2310472	61480	8814
d053	2019-02-22	3020	883	10558102	3881860	105650	12430
d052	2019-02-21	2915	881	13999221	4697303	129721	18074
d051	2019-02-20	2502	833	14616938	5853088	113678	18860
d050	2019-02-19	2437	783	9304545	3535627	67065	10715
d049	2019-02-18	2316	755	8204211	3004652	62107	9674
d048	2019-02-17	2212	718	5813118	1984642	47879	7188
d047	2019-02-16	2206	723	5417580	1774605	45071	6036
d046	2019-02-15	2350	751	6637782	2118605	50321	6307
d045	2019-02-14	2328	744	6380382	2093769	55572	6648
d044	2019-02-13	2145	742	7288366	2745149	56956	11311
d043	2019-02-12	2080	728	7218710	2794279	46468	5253
d042	2019-02-11	1969	702	6795321	2615440	50312	7166
d041	2019-02-10	1893	671	4481742	1631492	31800	3457
d040	2019-02-09	1929	689	6306292	2415954	38372	4658
d039	2019-02-08	2068	704	8743890	3492772	55957	7346
d038	2019-02-07	2029	691	7859599	3024251	53595	7441
d037	2019-02-06	1945	673	7196419	2648984	51996	6820
d036	2019-02-05	1824	635	7995055	2904165	63568	10258
d035	2019-02-04	1872	589	8308758	3157282	83655	11715
d034	2019-02-03	1722	539	3931312	1298980	31478	3927
d033	2019-02-02	1805	551	4489356	1418751	34802	3789
d032	2019-02-01	1906	582	11576556	4249394	82657	14477
d031	2019-01-31	2078	586	7075501	2328520	61744	8560
d030	2019-01-30	2036	582	6745960	2328645	47375	6261
d029	2019-01-29	2228	564	9880341	3529821	100499	17513
d028	2019-01-28	2282	556	13138600	4876642	101506	16997
d027	2019-01-27	2013	538	5875154	2059851	52478	7889
d026	2019-01-26	2069	545	9254961	3583445	88855	17499
d025	2019-01-25	1975	571	7987102	2998356	56155	8372
d024	2019-01-24	2059	558	5857097	1947239	60078	7357
d023	2019-01-23	1872	552	5332929	1813615	43628	4539
d022	2019-01-22	1635	537	6440847	2439601	52236	7376
d021	2019-01-21	1767	538	8590450	3341774	67140	8209
d020	2019-01-20	1618	512	4468346	1616706	36497	4249
d019	2019-01-19	1575	492	4058771	1488993	32900	3868
d018	2019-01-18	1621	517	6256373	2470394	44300	7253
d017	2019-01-17	1587	517	5271154	1772364	53009	7788
d016	2019-01-16	1604	510	7945197	2884940	77477	14448
d015	2019-01-15	1799	495	8437367	2819513	87191	15131
d014	2019-01-14	1783	496	8426721	2836106	73196	9651
d013	2019-01-13	1565	476	6024709	1967789	52917	8474
d012	2019-01-12	1464	471	5454727	1741725	44844	7856
d011	2019-01-11	1489	474	5466293	1700599	45847	6756
d010	2019-01-10	1420	459	7864953	2635040	59707	9282
d009	2019-01-09	1183	410	3968098	1243693	34680	4947
d008	2019-01-08	1030	369	6042490	2322811	33875	7279
d007	2019-01-07	990	365	3384088	1194081	22135	2748
d006	2019-01-06	2287	359	8251310	2710833	84261	11969
d005	2019-01-05	2294	352	8509963	2794299	85946	12247
d004	2019-01-04	2382	341	11740701	4031504	107717	15702
d003	2019-01-03	1947	327	10902923	3895782	90739	16545
d002	2019-01-02	2061	329	12272901	4308069	119413	23440
d001	2019-01-01	1998	304	11397589	3913894	102590	16638
