advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Podemos	Unidas Podemos	269212336568846	Facebook	d114	2019-04-24	296	1	16702775	7410784	105476	28556
Partido Popular	Partido Popular	72249031214	Facebook	d114	2019-04-24	1707	1	8514323	2932249	70953	6011
FDP	FDP	21289227249	Facebook	d114	2019-04-24	225	1	4810495	1537550	28655	1900
PSOE	PSOE	189318235003	Facebook	d114	2019-04-24	293	1	4317917	1736394	13755	2365
Greenpeace France		39435457457	Facebook	d114	2019-04-24	5	1	2500995	1100000	7595	2100
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	d114	2019-04-24	184	1	2393055	633417	29076	2788
Ciudadanos	Ciudadanos	74078667754	Facebook	d114	2019-04-24	397	1	1795603	452000	46703	2400
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d114	2019-04-24	20	1	1552178	665555	3804	844
sp.a	sp.a	57253967150	Facebook	d114	2019-04-24	96	1	1463383	619433	6621	1601
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	d114	2019-04-24	40	1	1116469	455901	4307	1049
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	d114	2019-04-24	12	1	1101122	471148	9153	2001
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d114	2019-04-24	22	1	1037997	472335	4025	883
Un país moderno	Unidas Podemos	577723459314066	Facebook	d114	2019-04-24	35	1	974281	444956	6329	1330
En Comú Podem	En Comú Podem	463627663844039	Facebook	d114	2019-04-24	35	1	958014	383995	3113	955
McCabe 4 Mayor	John Mccabe	564061654107377	Facebook	d114	2019-04-24	358	1	886292	169929	40747	38
Change UK - The Independent Group	The Independent Group (TIG) Ltd, company number 11770529, a registered company in England and Wales.	395151614382309	Facebook	d114	2019-04-24	6	1	809994	322000	13416	2661
Compromís	Compromís	194053080624605	Facebook	d114	2019-04-24	22	1	761094	349207	3545	792
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	d114	2019-04-24	56	1	726261	294447	3539	598
Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	d114	2019-04-24	21	1	706158	315083	4271	1770
Harald Vilimsky	FPÖ	547597092025909	Facebook	d114	2019-04-24	22	1	688829	281843	6916	1455
Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	d114	2019-04-24	4	1	674999	337500	25874	5175
Petizioni.it		1410474395723679	Facebook	d114	2019-04-24	7	1	660993	315000	3293	1200
Amnesty International UK		7624294394	Facebook	d114	2019-04-24	16	1	626984	290000	5883	1967
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	d114	2019-04-24	27	1	606076	292333	3188	1079
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	d114	2019-04-24	31	1	598856	265203	1022	223
