advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d122	2019-05-02	124	1	7095283	3268727	36215	11697
CDU	CDU	78502295414	Facebook	d122	2019-05-02	3170	1	5050471	1255166	52305	0
The Labour Party	The Labour Party	25749647410	Facebook	d122	2019-05-02	36	1	2032467	640000	17724	3992
SPD	SPD	47930567748	Facebook	d122	2019-05-02	903	1	1910097	292000	90747	350
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	d122	2019-05-02	188	1	1544992	626268	7500	1496
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d122	2019-05-02	18	1	1471630	718942	4465	1059
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	d122	2019-05-02	74	1	1378616	623885	3944	872
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	d122	2019-05-02	7	1	1019998	490000	1418	283
România în primul rând	Future Innovation	770704223323599	Facebook	d122	2019-05-02	13	1	956816	455909	1136	258
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d122	2019-05-02	20	1	901238	405419	2407	607
Fidesz	Fidesz	9844779306	Facebook	d122	2019-05-02	6	1	816663	366666	1753	876
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	d122	2019-05-02	365	1	794635	156000	37835	700
Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	d122	2019-05-02	21	1	781423	324571	1797	600
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d122	2019-05-02	7	1	734522	354047	2074	1029
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	d122	2019-05-02	18	1	726652	304333	4186	700
Open Vld	Open Vld	53668151866	Facebook	d122	2019-05-02	131	1	721909	281762	5142	980
Kialo		729627343834501	Facebook	d122	2019-05-02	13	1	659991	228000	5364	1671
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	d122	2019-05-02	14	1	635051	277220	6155	1639
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	d122	2019-05-02	190	1	618410	216793	4127	621
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	d122	2019-05-02	15	1	610487	122666	1240	0
