advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	SI	Slovenia	45	1	5517857	2350021	24008	6331
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	f	Facebook	SI	Slovenia	150	1	3087160	931858	18448	899
European Greens		141366725876424	Facebook	f	Facebook	SI	Slovenia	41	1	1616376	747812	5802	1755
SDS - Slovenska demokratska stranka	SDS - Slovenska demokratska stranka	30790585231	Facebook	f	Facebook	SI	Slovenia	45	1	1502942	531995	6154	699
Franc Bogovič		288826994603012	Facebook	f	Facebook	SI	Slovenia	15	1	1318871	539443	3482	499
Romana Tomc		1025408990823719	Facebook	f	Facebook	SI	Slovenia	26	1	1049759	248922	2973	99
Kialo		729627343834501	Facebook	f	Facebook	SI	Slovenia	332	1	842100	350373	4300	1065
Socialni demokrati (SD)	Socialni demokrati (SD)	12676777580	Facebook	f	Facebook	SI	Slovenia	103	1	835778	216972	10195	0
Milan Zver	SDS - Slovenska demokratska stranka	279397488827904	Facebook	f	Facebook	SI	Slovenia	34	1	732721	242895	4164	200
Stranka LMŠ	Stranka LMŠ	1688472281270558	Facebook	f	Facebook	SI	Slovenia	21	1	566979	125000	2479	100
Urša Zgojznik	Lista Povežimo se	2264632877141356	Facebook	f	Facebook	SI	Slovenia	14	1	306961	99995	1385	0
Siemens Slovenija		393074441061448	Facebook	f	Facebook	SI	Slovenia	11	1	275989	55000	1088	0
Tanja Fajon	Socialni demokrati (SD)	73452413740	Facebook	f	Facebook	SI	Slovenia	6	1	250893	49979	593	0
Neva Grašič		2235496013147745	Facebook	f	Facebook	SI	Slovenia	13	1	210985	51000	1286	0
Janez Janša	SDS - Slovenska demokratska stranka	32585228571	Facebook	f	Facebook	SI	Slovenia	4	1	209995	74999	1195	200
SAB - Stranka Alenke Bratušek		242210245976248	Facebook	f	Facebook	SI	Slovenia	4	1	204879	70976	395	0
Evropska komisija v Sloveniji		100107313369390	Facebook	f	Facebook	SI	Slovenia	1	1	199998	99999	498	99
Lumar hiše		117782661584893	Facebook	f	Facebook	SI	Slovenia	2	1	199991	99996	997	199
Patricija Šulin		1541413339429015	Facebook	f	Facebook	SI	Slovenia	9	1	185979	69997	1290	100
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	f	Facebook	SI	Slovenia	60	1	141920	64478	392	76
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f	Facebook	SI	Slovenia	54	1	138227	62909	266	65
European Commission		107898832590939	Facebook	f	Facebook	SI	Slovenia	8	1	101383	35703	290	25
DOM - Domovinska liga		571044543390810	Facebook	f	Facebook	SI	Slovenia	8	1	99975	28996	791	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	f	Facebook	SI	Slovenia	34	1	96461	31509	318	1
Pravična trgovina Slovenija	Zavod za pravično trgovino, 3MUHE	526186704085625	Facebook	f	Facebook	SI	Slovenia	58	1	93941	8999	5741	0
