day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d136	2019-05-16	BG	Bulgaria	272	77	1406915	477469	4185	218
d135	2019-05-15	BG	Bulgaria	296	84	1567057	519384	4930	253
d134	2019-05-14	BG	Bulgaria	291	85	2115689	771348	5143	378
d133	2019-05-13	BG	Bulgaria	255	78	1411722	507784	4066	300
d132	2019-05-12	BG	Bulgaria	277	80	1348805	471697	3825	271
d131	2019-05-11	BG	Bulgaria	285	78	1349579	469087	3144	243
d130	2019-05-10	BG	Bulgaria	283	78	1347092	456690	4461	292
d129	2019-05-09	BG	Bulgaria	254	76	891720	311727	3257	231
d128	2019-05-08	BG	Bulgaria	251	72	599867	200128	2281	103
d127	2019-05-07	BG	Bulgaria	239	72	407022	144704	1637	91
d126	2019-05-06	BG	Bulgaria	237	70	398041	142685	1727	99
d125	2019-05-05	BG	Bulgaria	252	77	820429	293864	2058	111
d124	2019-05-04	BG	Bulgaria	253	77	641434	214918	2107	124
d123	2019-05-03	BG	Bulgaria	263	81	512471	190153	1703	103
d122	2019-05-02	BG	Bulgaria	260	82	484666	183279	1675	100
d121	2019-05-01	BG	Bulgaria	260	78	448037	171174	1578	104
d120	2019-04-30	BG	Bulgaria	295	84	431885	163639	1454	116
d119	2019-04-29	BG	Bulgaria	292	86	685549	299817	1707	410
d118	2019-04-28	BG	Bulgaria	240	83	480848	213819	1162	367
d117	2019-04-27	BG	Bulgaria	239	87	489575	222537	1062	350
d116	2019-04-26	BG	Bulgaria	265	90	632995	268669	1692	468
d115	2019-04-25	BG	Bulgaria	243	87	206240	78527	559	75
d114	2019-04-24	BG	Bulgaria	231	89	224277	70030	645	63
d113	2019-04-23	BG	Bulgaria	257	90	383727	136997	1512	246
d112	2019-04-22	BG	Bulgaria	230	92	151924	53119	501	71
d111	2019-04-21	BG	Bulgaria	247	92	296618	117060	1556	261
d110	2019-04-20	BG	Bulgaria	244	100	248885	99296	1433	209
d109	2019-04-19	BG	Bulgaria	263	106	299956	124670	1572	245
d108	2019-04-18	BG	Bulgaria	254	104	197030	81488	1295	191
d107	2019-04-17	BG	Bulgaria	253	103	201306	73325	1370	191
