country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ES	Spain	f25_34	female (25-34)	16546	1992	72093471	28060572	449816	64888
ES	Spain	f35_44	female (35-44)	16636	1991	67877181	25960729	480486	66894
ES	Spain	m25_34	male (25-34)	15389	1925	61695501	24131631	412843	57413
ES	Spain	f45_54	female (45-54)	17123	1919	59374413	21660466	457523	57263
ES	Spain	f18_24	female (18-24)	13282	1810	56783503	22879290	294959	43954
ES	Spain	m35_44	male (35-44)	15408	1921	54938072	21345944	411235	55890
ES	Spain	f55_64	female (55-64)	16322	1756	43702824	15669623	406187	42791
ES	Spain	m45_54	male (45-54)	14883	1853	41389281	15470437	311736	41848
ES	Spain	m18_24	male (18-24)	12830	1757	38310564	15436019	216113	31114
ES	Spain	m55_64	male (55-64)	13834	1704	24582600	9111627	219660	24801
ES	Spain	f65_	female (65+)	13987	1553	23906195	8580848	234105	23570
ES	Spain	m65_	male (65+)	12425	1511	14505016	5411641	132474	14971
ES	Spain	f13_17	female (13-17)	768	319	1569711	621262	3904	329
ES	Spain	u35_44	unknown (35-44)	10791	1629	1059916	420276	7218	1127
ES	Spain	m13_17	male (13-17)	688	300	1038590	413106	2351	231
ES	Spain	u25_34	unknown (25-34)	9847	1525	569927	225722	3503	561
ES	Spain	u45_54	unknown (45-54)	9825	1486	469109	179367	3354	490
ES	Spain	u55_64	unknown (55-64)	7463	1226	186547	70740	1516	199
ES	Spain	u65_	unknown (65+)	6643	1102	167928	64167	1359	179
ES	Spain	u18_24	unknown (18-24)	5985	1148	128374	51166	723	111
ES	Spain	u13_17	unknown (13-17)	465	228	3832	1478	11	1
