recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	FI	Finland	765	119	984620	230355	19946	833
rd2	Last 2 days	2019-05-12	2019-05-13	FI	Finland	841	127	2147731	506311	41647	1930
rd3	Last 3 days	2019-05-11	2019-05-13	FI	Finland	940	132	3336867	789489	63883	3042
rd4	Last 4 days	2019-05-10	2019-05-13	FI	Finland	1000	138	4467575	1081169	76338	4188
rd5	Last 5 days	2019-05-09	2019-05-13	FI	Finland	1045	145	5727135	1403514	89507	5554
rd6	Last 6 days	2019-05-08	2019-05-13	FI	Finland	1107	148	6682178	1642486	100866	6667
rw1	Last week	2019-05-07	2019-05-13	FI	Finland	1171	155	8295228	2242074	115517	8436
rw2	Last 2 weeks	2019-04-30	2019-05-13	FI	Finland	1495	204	17709891	6103539	200104	28503
rw3	Last 3 weeks	2019-04-23	2019-05-13	FI	Finland	1737	249	21499495	7612792	237049	38948
rw4	Last 4 weeks	2019-04-16	2019-05-13	FI	Finland	1928	307	23054920	8111825	256108	42057
rm1	Last month	2019-04-14	2019-05-13	FI	Finland	2569	483	26049916	9180717	286549	48024
rm2	Last 2 months	2019-03-15	2019-05-13	FI	Finland	4605	1002	61845765	21590155	635656	102515
rm3	Last 3 months	2019-02-13	2019-05-13	FI	Finland	5052	1088	65105913	22617671	671340	105458
rm6	Last 6 months	2019-01-01	2019-05-13	FI	Finland	5312	1123	66939578	23246542	690477	107205
