country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
DE	Germany	m25_34	male (25-34)	31100	4104	70710121	23184244	729353	75606
DE	Germany	m18_24	male (18-24)	29602	3806	62031166	19527768	675358	52788
DE	Germany	f18_24	female (18-24)	29970	3844	55061580	17052617	584019	43318
DE	Germany	f25_34	female (25-34)	31467	4174	47950786	15293060	481117	45452
DE	Germany	m35_44	male (35-44)	29419	4025	40038944	13006474	422915	44135
DE	Germany	m45_54	male (45-54)	28487	3859	35236495	11109062	426335	44453
DE	Germany	f35_44	female (35-44)	29817	4089	28466514	9019527	299009	28515
DE	Germany	f45_54	female (45-54)	28746	3905	24920991	7653248	302560	26500
DE	Germany	m55_64	male (55-64)	26823	3620	21461494	6468912	307697	26338
DE	Germany	f55_64	female (55-64)	27047	3662	17968753	5243274	265426	18917
DE	Germany	m65_	male (65+)	24615	3260	11957098	3538050	190300	14672
DE	Germany	f65_	female (65+)	24701	3290	9784136	2771947	166559	10370
DE	Germany	f13_17	female (13-17)	4148	1142	5064148	1698318	36697	1836
DE	Germany	m13_17	male (13-17)	4412	1128	4703890	1595679	37630	1805
DE	Germany	u25_34	unknown (25-34)	15892	3179	569815	187155	6078	649
DE	Germany	u35_44	unknown (35-44)	15298	3184	488912	160456	5232	601
DE	Germany	u45_54	unknown (45-54)	13115	2903	256845	81566	3172	347
DE	Germany	u18_24	unknown (18-24)	11376	2439	197829	63622	2098	186
DE	Germany	u65_	unknown (65+)	9302	2251	137696	42345	1957	163
DE	Germany	u55_64	unknown (55-64)	9314	2348	111601	34521	1564	154
DE	Germany	u13_17	unknown (13-17)	1661	630	20291	6871	161	8
