advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	f	Facebook	IE	Ireland	2	1	699995	299998	1497	599
Social Democrats	Social Democrats	1012851375393300	Facebook	f	Facebook	IE	Ireland	16	1	308984	73000	1584	0
Mark Durkan	Fine Gael	2002340613394109	Facebook	f	Facebook	IE	Ireland	2	1	199997	99999	1497	599
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	f	Facebook	IE	Ireland	6	1	169993	36999	1793	299
Leo Varadkar T.D.	Fine Gael	178974912140818	Facebook	f	Facebook	IE	Ireland	2	1	149997	59999	597	99
Malcolm Byrne	Malcolm Byrne Page	34812247970	Facebook	f	Facebook	IE	Ireland	5	1	66995	16000	495	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	f	Facebook	IE	Ireland	2	1	59997	14999	197	0
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	f	Facebook	IE	Ireland	2	1	50991	9998	197	0
Paddy Monahan Soc Dems	Social Democrats	243736776300023	Facebook	f	Facebook	IE	Ireland	1	1	49999	10000	99	0
Cllr. Éilis Ryan for Europe	The Workers' Party of Ireland	787376334669425	Facebook	f	Facebook	IE	Ireland	1	1	49999	10000	499	100
Jen Cummins Social Democrats	Social Democrats	359027571515876	Facebook	f	Facebook	IE	Ireland	1	1	49999	10000	99	0
Sinn Féin Ireland	Sinn Féin	148726998530273	Facebook	f	Facebook	IE	Ireland	1	1	49998	9999	98	0
Green Party Ireland	Green Party Ireland	108339693065	Facebook	f	Facebook	IE	Ireland	1	1	49998	9999	98	0
Dr. Fidelma Healy Eames Independent Candidate, EU elections	Healy Eames Fidelma	395965057626422	Facebook	f	Facebook	IE	Ireland	9	1	37991	10000	891	0
Sean Kelly MEP	Sean Kelly MEP	340786422717552	Facebook	f	Facebook	IE	Ireland	7	1	22992	3999	692	0
Denise McMorrow for Dublin 2019	Mc Morrow Denise	438930423601172	Facebook	f	Facebook	IE	Ireland	4	1	15996	3000	396	0
Blaine Gaffney	Blaine O' Gamhna	371962112988652	Facebook	f	Facebook	IE	Ireland	2	1	14998	6000	198	0
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	f	Facebook	IE	Ireland	2	1	14997	5999	197	0
Paul Nolan - Social Democrats Meath East	King John	1838758749501583	Facebook	f	Facebook	IE	Ireland	3	1	11996	4999	296	0
Alex White	Mc Kinney Eunan Anthony	58389344622	Facebook	f	Facebook	IE	Ireland	1	1	9999	5000	98	0
Cllr.June Murphy Social Democrat candidate	Social Democrats	196651674600841	Facebook	f	Facebook	IE	Ireland	1	1	9999	5000	99	0
Gary Gannon 4 Europe	The Gary Gannon 4 Europe Campaign	691388720903801	Facebook	f	Facebook	IE	Ireland	2	1	9998	2000	198	0
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	f	Facebook	IE	Ireland	5	1	8995	1000	495	0
European Commission	European Commission	107898832590939	Facebook	f	Facebook	IE	Ireland	2	1	6075	3037	15	3
Sharon Nolan	Nolan Sharon Kathryn	399903233737537	Facebook	f	Facebook	IE	Ireland	2	1	5998	1000	198	0
Adrienne Wallace - People Before Profit	Wallace Adrienne Catherine	1555518121383424	Facebook	f	Facebook	IE	Ireland	2	1	5997	1000	198	0
Eoin Barry For Laois Council 2019	Barry Eoin	469695723432344	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Liam Boyle Labour	Ó BAOILL ANDREW	555153594978666	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Owen Hanley	Owen Hanley	234006030801926	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Cyril Brennan - People Before Profit	People Before Profit - Midlands North West	164750800796944	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Aontú	Toibin Peadar Pol	1052704411520149	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Fintan Brett	Brett Fintan Peter	345949292941023	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Daniel Whooley - Ongar	Ben O'Leary Fitzpatrick 	566106640523884	Facebook	f	Facebook	IE	Ireland	1	1	4999	1000	99	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	f	Facebook	IE	Ireland	1	1	4998	999	98	0
Cllr Kevin Daly	Daly Kevin	344182612453224	Facebook	f	Facebook	IE	Ireland	1	1	4998	1000	99	0
Orla Kelly	Orla Kelly	284729489119670	Facebook	f	Facebook	IE	Ireland	3	1	2997	0	297	0
Sam O'Connor - Balbriggan & Skerries	O'Connor Samuel Simon	1002067016657679	Facebook	f	Facebook	IE	Ireland	3	1	2997	0	297	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	f	Facebook	IE	Ireland	1	1	2874	1437	7	1
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	f	Facebook	IE	Ireland	4	1	2109	676	4	0
Cormac MacGowan	Mac Gowan Cormac	2224427621206563	Facebook	f	Facebook	IE	Ireland	2	1	1998	0	198	0
Fiona Nolan Fianna Fáil	Sweeney Simon Martin	2220109951652114	Facebook	f	Facebook	IE	Ireland	2	1	1998	0	198	0
Patricia O' Dwyer	Selormey Kodzo Effui	1790264301045335	Facebook	f	Facebook	IE	Ireland	2	1	1998	0	198	0
Malachy Hand - FF Local Election Candidate for South Roscommon	Hand Malachy	949185501928800	Facebook	f	Facebook	IE	Ireland	2	1	1997	0	197	0
Louis O'Hara - Sinn Féin	O'HARA LOUIS JOSEPH	290382001169403	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Luke Crowley-Holland	CROWLEY-HOLLAND LUKE	404745130303486	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Mairéad Farrell - Sinn Féin	Farrell Mairead	213927028776676	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Buncrana & South Inishowen Sinn Féin	Ni Bhroin Sinead	620153045086951	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Declan Burke - Fianna Fáil - Tallaght Central	Burke Declan	666587086733858	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Cllr. Seamus Hanafin	Fogarty Gerard	78105981167	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Beckha Doyle - Social Democrat for Scarriff & Killaloe	Beckha Doyle For Scarriff Killaloe	286051255266972	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Aidan Farrelly Social Democrats	Farrelly Aidan	1907649435989003	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Clare Claffey Social Democrats	Social Democrats Laois Offaly	289004898593218	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Dublin  Bay South Greens	Dublin Bay South Green Party	474701085946722	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Julie O'Leary	O'Leary Julie	1395595887405642	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
Kate O'Connell TD	O'Connell Kate	203442726495682	Facebook	f	Facebook	IE	Ireland	1	1	999	0	99	0
West Cork People Before Profit Alliance	O'Sullivan Vanessa	174190439384938	Facebook	f	Facebook	IE	Ireland	1	1	998	0	99	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	f	Facebook	IE	Ireland	2	1	696	160	1	0
