impression_code	impression_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
0_1k	0 - 1k	SI	Slovenia	53	26	45900	0	4548	0
1k_5k	1k - 5k	SI	Slovenia	137	32	624917	125008	12375	0
5k_10k	5k - 10k	SI	Slovenia	91	31	830074	415078	8218	0
10k_50k	10k - 50k	SI	Slovenia	150	44	5940041	1188032	14985	805
50k_100k	50k - 100k	SI	Slovenia	34	18	1342470	671241	6344	1528
100k_200k	100k - 200k	SI	Slovenia	19	12	1340266	670136	8344	1970
200k_500k	200k - 500k	SI	Slovenia	20	9	2574006	1029604	12142	2733
500k_1m	500k - 1m	SI	Slovenia	12	3	1161769	580885	5402	1101
