week_code_filter	week_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w017	Week 17	Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	42	1	130709999	13070000	637161	40349
w017	Week 17	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	231	1	117452138	11682791	789597	15339
w017	Week 17	Podemos	Unidas Podemos	269212336568846	Facebook	297	1	73298669	32454296	452102	120431
w017	Week 17	Partido Popular	Partido Popular	72249031214	Facebook	2125	1	54634377	20956499	416619	56463
w017	Week 17	COALICION CANARIA		AR489541609348661248	Google	3501	1	34009120	966731	139446	601
w017	Week 17	AMERISOFT SRL		AR573801583431647232	Google	85	1	31842606	3173307	3068	158
w017	Week 17	European Parliament		178362315106	Facebook	106	1	29502841	13539000	153655	40740
w017	Week 17	Ciudadanos	Ciudadanos	74078667754	Facebook	3023	1	29460977	8329000	402577	26000
w017	Week 17	Future Innovation SRL		AR474748779908562944	Google	28	1	25503577	2548069	124277	2244
w017	Week 17	Freiheitliche Partei Österreich		AR333020356698701824	Google	43	1	23604527	2352272	200649	20062
w017	Week 17	PSOE	PSOE	189318235003	Facebook	334	1	19923392	7902556	64377	10841
w017	Week 17	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	536	1	19142725	1684655	28767	871
w017	Week 17	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	71	1	18135028	1792320	52230	1141
w017	Week 17	Partido Animalista PACMA		AR145115193901318144	Google	4	1	12666666	1266666	63611	1083
w017	Week 17	Kialo		729627343834501	Facebook	127	1	10954875	4445000	48624	11135
w017	Week 17	sp.a	sp.a	57253967150	Facebook	133	1	10646649	4489706	47567	11618
w017	Week 17	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	75	1	10241804	1010493	91012	1675
w017	Week 17	FDP	FDP	21289227249	Facebook	695	1	9370247	2862446	70549	4188
w017	Week 17	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	110	1	7850000	779999	99549	2366
w017	Week 17	Romania #nuepsd	Future Innovation	293215748279337	Facebook	26	1	7159974	3265000	5163	2542
w017	Week 17	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	64	1	6443436	2630500	14811	2675
w017	Week 17	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	30	1	6113675	2645335	15625	3637
w017	Week 17	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	51	1	5726023	551000	1945	70
w017	Week 17	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	46	1	5437717	534855	1333	65
w017	Week 17	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	81	1	5321376	2250333	36915	9083
w017	Week 17	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	46	1	4960123	2039126	17534	4278
w017	Week 17	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	17	1	4701178	2002142	2475	1061
w017	Week 17	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	38	1	4668019	2141274	16938	3772
w017	Week 17	Un país moderno	Unidas Podemos	577723459314066	Facebook	35	1	4462341	2040149	29006	6055
w017	Week 17	The Brexit Party	The Brexit Party	230416667843105	Facebook	24	1	4040081	1983437	46179	15553
w017	Week 17	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	26	1	3962644	1655375	40741	9582
w017	Week 17	GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	28	1	3904166	387499	770	20
w017	Week 17	Vlaams Belang	Vlaams Belang	56605856504	Facebook	12	1	3835795	1799903	24818	5675
w017	Week 17	Liberal Alliance		AR183859784640888832	Google	91	1	3819642	358750	78260	1943
w017	Week 17	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	55	1	3654295	1499742	12500	3756
w017	Week 17	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	192	1	3632884	1334153	32288	3427
w017	Week 17	Compromís	Compromís	194053080624605	Facebook	27	1	3586313	1595095	14903	3600
w017	Week 17	En Comú Podem	En Comú Podem	463627663844039	Facebook	38	1	3440080	1433478	11202	3352
w017	Week 17	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	57	1	3405228	1400819	15694	2701
w017	Week 17	Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	13	1	3390738	1571500	22125	4342
w017	Week 17	CDA Doetinchem		AR453512812329697280	Google	35	1	3242222	318774	1122	41
w017	Week 17	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	134	1	3134035	1356309	12566	2579
w017	Week 17	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	35	1	2976965	1217000	44974	13076
w017	Week 17	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	12	1	2949816	1405245	7572	3367
w017	Week 17	Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	4	1	2874996	1437500	104371	20875
w017	Week 17	SPÖ	SPÖ	77393060080	Facebook	294	1	2815421	934444	19459	2327
w017	Week 17	HLAS		AR312619193323225088	Google	420	1	2780488	106163	11111	220
w017	Week 17	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	31	1	2741289	1206954	4395	934
w017	Week 17	Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	42	1	2724681	1226005	14966	5862
w017	Week 17	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	35	1	2604947	1099487	9056	2381
w017	Week 17	România în primul rând	Future Innovation	770704223323599	Facebook	15	1	2586267	1112352	1990	562
w017	Week 17	Greenpeace France		39435457457	Facebook	5	1	2500995	1100000	7595	2100
w017	Week 17	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	34	1	2396413	981059	4944	1611
w017	Week 17	UAB "BPN LT"		AR135010682042056704	Google	32	1	2309999	231000	884	35
w017	Week 17	ČSSD	ČSSD	111041662264882	Facebook	300	1	2303701	541999	15513	3505
w017	Week 17	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	45	1	2300562	960592	4634	1000
w017	Week 17	Harald Vilimsky		547597092025909	Facebook	53	1	2268883	953557	20464	5076
w017	Week 17	Cink, s.r.o.		AR361287976015101952	Google	26	1	2254483	219951	1396	89
w017	Week 17	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	28	1	2178666	215333	753	26
w017	Week 17	Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	45	1	2169845	767000	5136	494
w017	Week 17	Mónica Oltra	Compromís	81107269227	Facebook	15	1	2116999	954794	9158	2040
w017	Week 17	Avaaz	Avaaz	8340223883	Facebook	3	1	2000997	1000000	10097	2000
w017	Week 17	Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	40	1	1985940	897464	2982	576
w017	Week 17	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	413	1	1983743	767629	8625	1531
w017	Week 17	Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	21	1	1806198	855606	6229	1635
w017	Week 17	Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	71	1	1805630	734069	5237	500
w017	Week 17	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	27	1	1750973	640000	10740	2033
w017	Week 17	Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	129	1	1731665	508212	8289	1085
w017	Week 17	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	178	1	1727136	647225	19356	5084
w017	Week 17	Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	115	1	1718885	577000	13785	600
w017	Week 17	The Labour Party	The Labour Party	25749647410	Facebook	15	1	1689986	686000	15259	3355
w017	Week 17	kontrast.at	kontrast.at	1079650008770485	Facebook	38	1	1686374	758686	6970	2556
w017	Week 17	Junts per Catalunya	Junts per Catalunya	386166375144833	Facebook	27	1	1684455	654795	6334	1054
w017	Week 17	Litere.net	litere.net	1504323906337545	Facebook	9	1	1683799	778586	588	237
w017	Week 17	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	12	1	1579753	638380	1064	216
w017	Week 17	McCabe 4 Mayor	John Mccabe	564061654107377	Facebook	550	1	1525421	294393	64758	488
w017	Week 17	Greenpeace España	Greenpeace España	133044800622	Facebook	12	1	1504988	641000	3988	700
w017	Week 17	Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	24	1	1490585	145454	1234	90
w017	Week 17	KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	101	1	1455059	129000	3225	195
w017	Week 17	Izquierda Unida	Izquierda Unida	74858103866	Facebook	13	1	1438321	617666	6388	2133
w017	Week 17	Irene Montero	Unidas Podemos	699285113542248	Facebook	4	1	1418747	658750	12122	3916
w017	Week 17	Best For Britain	Best for Britain	1863944713844924	Facebook	26	1	1412073	550816	15953	3570
w017	Week 17	Alberto Garzón Espinosa	Izquierda Unida	180609005365213	Facebook	12	1	1359987	584999	11088	2800
w017	Week 17	Alternativet		AR198061076825243648	Google	3	1	1350000	135000	675	67
w017	Week 17	Groen	Groen	84920854319	Facebook	74	1	1264783	438150	6455	932
w017	Week 17	MSZP	MSZP	115388925185513	Facebook	20	1	1253093	520888	1386	386
w017	Week 17	SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	20	1	1251895	124055	811	50
w017	Week 17	Peter Mertens	PVDA	236485149843971	Facebook	479	1	1226104	309077	18070	1499
w017	Week 17	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	12	1	1221709	539542	2182	526
w017	Week 17	HC Strache	FPÖ	74865038590	Facebook	31	1	1213610	466309	11484	2775
w017	Week 17	EAJ-PNV	EAJ-PNV	26830001203	Facebook	28	1	1208831	517371	6168	900
w017	Week 17	Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	33	1	1183888	387583	3979	562
w017	Week 17	PSOE Aragón	PSOE Aragón	170970449608409	Facebook	1390	1	1156365	38675	102873	0
w017	Week 17	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	79	1	1135485	394982	1814	530
w017	Week 17	Greenpeace Deutschland		22541752487	Facebook	116	1	1134929	439089	9303	1678
w017	Week 17	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	445	1	1132382	316191	12208	304
w017	Week 17	School Cuts	National Education Union	871798409656672	Facebook	57	1	1117476	312255	8108	510
w017	Week 17	38 Degrees	38 Degrees	200006375787	Facebook	57	1	1117406	448225	8334	1202
w017	Week 17	Europäisches Parlament Österreich		124468054313069	Facebook	35	1	1100926	464373	4203	1472
w017	Week 17	Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	28	1	1090125	335711	2953	151
w017	Week 17	Guardian Weekly		64525551258	Facebook	17	1	1069046	446783	5560	1348
w017	Week 17	Claudia Gamon	NEOS	447992848717452	Facebook	20	1	1054980	403000	8780	2800
w017	Week 17	RMDSZ	RMDSZ	102601499822802	Facebook	43	1	1048370	283143	1119	140
w017	Week 17	Κατερινα Μαρκου		832766380123763	Facebook	4	1	1032939	513382	560	100
w017	Week 17	Párbeszéd Magyarországért		AR567356246269624320	Google	6	1	1016730	101089	534	46
