week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	52778	5365	908084670	320816348	6084078	784224
w018	Week 18	50005	6029	1134236873	279552828	6919507	741339
w017	Week 17	42397	5553	1089977176	276454142	6868083	750263
w016	Week 16	32061	5940	649800366	175227179	3868009	386338
w015	Week 15	27171	7616	538946460	153843815	3820034	387937
w014	Week 14	20144	6823	382483926	104801632	2764665	265796
w013	Week 13	18162	5817	295901544	96076174	2220960	268382
w012	Week 12	17327	5463	255458948	88059263	1955169	252094
w011	Week 11	12711	4529	189616325	69344770	1366299	190846
w010	Week 10	9831	3686	158634883	58547037	1059337	150849
