day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d107	2019-04-17	CY	Cyprus	ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	3	1	22142	8714	42	0
d107	2019-04-17	CY	Cyprus	Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	2	1	12210	4259	18	0
d107	2019-04-17	CY	Cyprus	Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	3	1	11867	2695	31	0
d107	2019-04-17	CY	Cyprus	Kialo		729627343834501	Facebook	1	1	6478	1295	11	0
d107	2019-04-17	CY	Cyprus	Adore Nature Cyprus		1849286755152187	Facebook	1	1	6231	1246	12	0
d107	2019-04-17	CY	Cyprus	Krypto Security Cyprus		604503129572525	Facebook	1	1	3330	1665	32	0
d107	2019-04-17	CY	Cyprus	VoteWatch Europe		355087424564148	Facebook	5	1	2897	1227	5	1
d107	2019-04-17	CY	Cyprus	yeniduzen		223172754383571	Facebook	2	1	2387	477	3	0
d107	2019-04-17	CY	Cyprus	Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	3	1	2173	577	12	0
d107	2019-04-17	CY	Cyprus	European Youth Event		919232861444360	Facebook	3	1	1336	556	2	1
d107	2019-04-17	CY	Cyprus	Leyla Hüseyin Kıralp		405321523588438	Facebook	6	1	1272	181	53	0
d107	2019-04-17	CY	Cyprus	We Amplify		186008238755917	Facebook	4	1	1052	210	2	0
d107	2019-04-17	CY	Cyprus	Kleopatra Sidiropoulou Υποψήφια Ευρωεκλογών με το Ποτάμι		272999270266817	Facebook	2	1	1031	515	1	0
d107	2019-04-17	CY	Cyprus	Union of Cypriots - Kıbrıslılar Birliği - Ένωσις Κυπρίων		2000341880290773	Facebook	2	1	998	399	1	0
d107	2019-04-17	CY	Cyprus	Μιχάλης Μηνά-Υποψήφιος Ευρωβουλευτής 2019-  Πρόεδρος Κόμμα Δικαιοσύνης		1405721126369385	Facebook	3	1	977	328	18	0
d107	2019-04-17	CY	Cyprus	Yiannos Lakkotrypis		750357328668972	Facebook	1	1	713	142	14	0
d107	2019-04-17	CY	Cyprus	Guardian Weekly		64525551258	Facebook	4	1	523	214	0	0
d107	2019-04-17	CY	Cyprus	Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	2	1	466	181	6	0
d107	2019-04-17	CY	Cyprus	Bloc Républicain nassirou bako-arifari		489196848282307	Facebook	1	1	454	90	8	0
d107	2019-04-17	CY	Cyprus	Last Stop Brexit		820489154977103	Facebook	1	1	397	79	0	0
d107	2019-04-17	CY	Cyprus	Όθων Καίσαρης- Υποψήφιος Ευρωβουλευτής, "Το Ποτάμι"		239548219564033	Facebook	1	1	341	170	3	0
d107	2019-04-17	CY	Cyprus	ETUC		129041250601685	Facebook	1	1	326	163	0	0
d107	2019-04-17	CY	Cyprus	Ιακώβου Βάκης		332523037613071	Facebook	1	1	312	62	6	0
d107	2019-04-17	CY	Cyprus	KPKD Otello Çok Sesli Korosu		1552646048303049	Facebook	1	1	312	62	0	0
d107	2019-04-17	CY	Cyprus	Tuunes		992176580926495	Facebook	6	1	192	44	0	0
