country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	d132	2019-05-12	169	48	797435	246184	3821	150
CY	Cyprus	d131	2019-05-11	181	49	771119	234260	3254	150
CY	Cyprus	d130	2019-05-10	197	50	1269106	429529	6277	705
CY	Cyprus	d129	2019-05-09	209	50	1200208	400907	6120	638
CY	Cyprus	d128	2019-05-08	193	52	1168299	399837	5910	699
CY	Cyprus	d127	2019-05-07	188	48	1191202	406153	6036	649
CY	Cyprus	d126	2019-05-06	160	44	1146636	367971	5079	599
CY	Cyprus	d125	2019-05-05	134	40	524214	146895	1610	39
CY	Cyprus	d124	2019-05-04	146	41	677351	184824	2552	39
CY	Cyprus	d123	2019-05-03	132	42	567681	158175	1943	42
CY	Cyprus	d122	2019-05-02	114	38	514891	130599	1361	36
CY	Cyprus	d121	2019-05-01	102	36	193388	52865	571	26
CY	Cyprus	d120	2019-04-30	134	42	150667	43648	508	26
CY	Cyprus	d119	2019-04-29	131	42	138485	40325	449	25
CY	Cyprus	d118	2019-04-28	132	43	184132	50083	628	29
CY	Cyprus	d117	2019-04-27	142	47	191325	53230	877	54
CY	Cyprus	d116	2019-04-26	146	50	206915	55312	1075	54
CY	Cyprus	d115	2019-04-25	143	48	218281	65422	876	51
CY	Cyprus	d114	2019-04-24	139	48	249376	76242	834	51
CY	Cyprus	d113	2019-04-23	138	48	197579	61468	748	2
CY	Cyprus	d112	2019-04-22	136	49	93314	24645	442	2
CY	Cyprus	d111	2019-04-21	151	53	231682	60576	952	2
CY	Cyprus	d110	2019-04-20	151	55	145512	42138	666	3
CY	Cyprus	d109	2019-04-19	157	57	127628	38778	567	2
CY	Cyprus	d108	2019-04-18	154	58	83761	25618	299	4
CY	Cyprus	d107	2019-04-17	154	59	80947	25733	298	4
CY	Cyprus	d106	2019-04-16	163	62	122056	34717	461	4
CY	Cyprus	d105	2019-04-15	206	70	187963	58942	783	33
CY	Cyprus	d104	2019-04-14	214	72	150392	49233	892	34
CY	Cyprus	d103	2019-04-13	221	82	163411	47954	824	36
CY	Cyprus	d102	2019-04-12	280	89	198621	63427	848	51
CY	Cyprus	d101	2019-04-11	252	91	223024	72651	926	54
CY	Cyprus	d100	2019-04-10	230	91	221288	65907	874	35
CY	Cyprus	d099	2019-04-09	227	96	187365	56537	763	35
CY	Cyprus	d098	2019-04-08	218	91	148682	49395	617	36
CY	Cyprus	d097	2019-04-07	221	85	270203	84755	859	31
CY	Cyprus	d096	2019-04-06	216	82	230821	76606	755	31
CY	Cyprus	d095	2019-04-05	213	83	185851	52290	576	24
CY	Cyprus	d094	2019-04-04	198	73	192564	55760	578	23
CY	Cyprus	d093	2019-04-03	175	72	218072	63200	727	32
CY	Cyprus	d092	2019-04-02	160	70	140618	50082	674	33
CY	Cyprus	d091	2019-04-01	171	71	252063	86837	1043	105
CY	Cyprus	d090	2019-03-31	190	85	237439	81964	1020	106
CY	Cyprus	d089	2019-03-30	196	85	317150	90646	1185	102
CY	Cyprus	d088	2019-03-29	217	98	810656	321444	3886	620
CY	Cyprus	d087	2019-03-28	205	95	643855	274339	3405	545
CY	Cyprus	d086	2019-03-27	178	82	565671	252321	3151	541
CY	Cyprus	d085	2019-03-26	155	74	177600	63743	827	104
CY	Cyprus	d084	2019-03-25	149	71	178872	62912	828	114
CY	Cyprus	d083	2019-03-24	143	68	174750	59767	791	94
CY	Cyprus	d082	2019-03-23	150	69	163190	59611	841	124
CY	Cyprus	d081	2019-03-22	152	73	139119	53006	830	122
CY	Cyprus	d080	2019-03-21	150	74	141920	56114	818	113
CY	Cyprus	d079	2019-03-20	153	68	183304	69292	991	116
CY	Cyprus	d078	2019-03-19	154	65	177592	69485	872	111
CY	Cyprus	d077	2019-03-18	146	56	184892	71420	814	113
CY	Cyprus	d076	2019-03-17	114	46	160251	65071	817	40
CY	Cyprus	d075	2019-03-16	108	47	153463	54169	808	40
CY	Cyprus	d074	2019-03-15	106	46	158146	48920	736	65
CY	Cyprus	d073	2019-03-14	79	38	195295	67338	747	124
CY	Cyprus	d072	2019-03-13	81	38	147168	39856	597	43
CY	Cyprus	d071	2019-03-12	71	37	164790	42558	559	29
CY	Cyprus	d070	2019-03-11	79	41	195372	74170	490	29
CY	Cyprus	d069	2019-03-10	79	40	195760	76047	598	29
CY	Cyprus	d068	2019-03-09	87	47	259629	89313	870	29
CY	Cyprus	d067	2019-03-08	91	49	276228	93737	1032	47
CY	Cyprus	d066	2019-03-07	73	37	97175	41144	363	22
CY	Cyprus	d065	2019-03-06	74	32	49523	22282	318	36
CY	Cyprus	d064	2019-03-05	59	32	93443	35831	361	35
CY	Cyprus	d063	2019-03-04	56	31	137662	44806	406	34
CY	Cyprus	d062	2019-03-03	49	28	156882	38619	387	1
CY	Cyprus	d061	2019-03-02	43	24	105918	28299	284	1
CY	Cyprus	d060	2019-03-01	41	22	29325	13004	91	0
CY	Cyprus	d059	2019-02-28	39	20	5810	1406	38	1
CY	Cyprus	d058	2019-02-27	43	18	5475	1238	40	1
CY	Cyprus	d057	2019-02-26	34	20	19060	6708	50	3
CY	Cyprus	d056	2019-02-25	30	16	17804	6457	25	3
CY	Cyprus	d055	2019-02-24	27	15	3926	926	10	0
CY	Cyprus	d054	2019-02-23	29	16	18482	3837	39	0
CY	Cyprus	d053	2019-02-22	34	20	37648	11541	116	13
CY	Cyprus	d052	2019-02-21	32	19	37520	11500	115	13
CY	Cyprus	d051	2019-02-20	34	19	38190	11682	118	13
CY	Cyprus	d050	2019-02-19	30	16	39841	11094	210	12
CY	Cyprus	d049	2019-02-18	28	15	33869	6901	70	0
CY	Cyprus	d048	2019-02-17	24	13	25538	5235	52	0
CY	Cyprus	d047	2019-02-16	30	14	25578	5240	54	0
CY	Cyprus	d046	2019-02-15	23	13	19064	3872	39	0
CY	Cyprus	d045	2019-02-14	18	8	323	123	1	0
CY	Cyprus	d044	2019-02-13	19	9	324	123	1	0
CY	Cyprus	d043	2019-02-12	20	10	753	338	2	0
CY	Cyprus	d042	2019-02-11	20	10	348	131	2	0
CY	Cyprus	d041	2019-02-10	18	9	182	82	0	0
CY	Cyprus	d040	2019-02-09	19	10	14599	7283	72	14
CY	Cyprus	d039	2019-02-08	19	10	184	75	0	0
CY	Cyprus	d038	2019-02-07	19	10	184	75	0	0
CY	Cyprus	d037	2019-02-06	22	11	998	450	3	0
CY	Cyprus	d036	2019-02-05	18	10	166	74	0	0
CY	Cyprus	d035	2019-02-04	18	10	356	108	1	0
CY	Cyprus	d034	2019-02-03	18	9	361	109	1	0
CY	Cyprus	d033	2019-02-02	18	10	616	221	4	0
