gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	LU	Luxembourg	392	61	4635548	1298552	33295	5026
m	male	LU	Luxembourg	367	61	4263943	1217365	30213	4451
u	unknown	LU	Luxembourg	354	61	67230	19443	469	71
