country_code_filter	country_name_filter	age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PT	Portugal	13_17	13-17	548	226	1367218	519948	3024	293
PT	Portugal	18_24	18-24	3557	1037	18500432	7752646	56343	9935
PT	Portugal	25_34	25-34	4097	1167	11244261	4628648	39374	6587
PT	Portugal	35_44	35-44	4002	1144	8012422	3150616	27908	4380
PT	Portugal	45_54	45-54	3985	1096	5836519	2239762	21610	3126
PT	Portugal	55_64	55-64	3214	974	4289179	1617556	16502	1951
PT	Portugal	65_	65+	2711	855	3473215	1314466	13872	1671
