advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Magnus Kolsjö	Magnus Kolsjö	46378622086	Facebook	sodermanland_county	Södermanland County	SE	Sweden	13	1	37	8	0	0
Liberala Studenter	Heimbrand Christoffer	118645251482192	Facebook	sodermanland_county	Södermanland County	SE	Sweden	15	1	36	10	0	0
Städa Sverige - Idrottens miljöorganisation	Nilsson Patrik Topias Lennart	302156023140090	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	33	16	0	0
Centerkvinnorna	Lek Ingrid Magdalena	265585313460256	Facebook	sodermanland_county	Södermanland County	SE	Sweden	8	1	32	4	0	0
Forum Syd	Forum Syd	152060917636	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	32	11	0	0
Svensk Tidskrift	Svensk Tidskrift	268608766607208	Facebook	sodermanland_county	Södermanland County	SE	Sweden	10	1	28	3	0	0
Yrkesdörren	ÖppnaDörren	1047016558650888	Facebook	sodermanland_county	Södermanland County	SE	Sweden	10	1	27	11	0	0
Kristdemokraterna i Dalarna	Kristdemokraterna Dalarna	321670347944266	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	27	8	1	0
Saco	Saco	133910158381	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	27	5	0	0
Folkbildarforum	Bildningsförbundet Östergötland	164688070209892	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	25	5	0	0
Socialdemokraterna i Jönköpings län	Socialdemokraterna i Jönköpings län	390479295816	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	24	4	0	0
Pietro Marchesi	Marchesi Pietro Angelo Giuseppe	412659735929497	Facebook	sodermanland_county	Södermanland County	SE	Sweden	7	1	23	2	0	0
Kristdemokraterna Uppsala	Kristdemokraterna Uppsala	783969528368300	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	22	7	0	0
Kristdemokraterna Arboga	Stenzelius Jonas Peter Mikael	1083070925184919	Facebook	sodermanland_county	Södermanland County	SE	Sweden	7	1	22	4	0	0
FPlus – nyhetstjänsten för företagsamma	fPlus	130927360876045	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	21	4	0	0
Jörgen Warborn EU-kandidat	Moderaterna	56002955332	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	20	4	0	0
Kryssa Mohammad Omran KD	Omran Mohammad	294934427940073	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	20	8	0	0
Vänsterpartiet Malmö	Vänsterpartiet Malmö	170519996379	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	19	3	0	0
20% Klimatvarning	Arleskar Carl Albin	362163934600158	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	19	7	0	0
IOGT-NTO	IOGT-NTO	28237261288	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	17	8	0	0
Tobias Baudin	Kommunal	614939535271869	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	17	3	0	0
Landsbygdspartiet oberoende	Landsbygdspartiet oberoende	1549988978561671	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	15	7	0	0
Centerpartiet i Uppsala län	Grew Hedda Anna Magdalena Jarta	801293393230795	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	14	4	0	0
Folkstyret	Ströberg Mikael	1243789685638222	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	14	2	0	0
Centerpartiet Uppsala Län	Grew Hedda Anna Magdalena Jarta	597947044056811	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	13	5	0	0
Zandra Pettersson SD politiker	Pettersson Zandra Margareta	1731576980266356	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	13	5	0	0
Kristdemokraterna Fyrbodal	Kristdemokraterna i VGN	1764033887144522	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	12	2	0	0
Utvecklingsmagasinet (fd Biståndsdebatten)	Edquist Kerstin Helena	162523667123095	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	12	2	0	0
Nackamoderaterna	Nackamoderaterna	132143480932	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	12	6	0	0
KDU Göteborg	KDU Göteborg	337673949604125	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	11	0	0	0
Vänsterpartiet Solna	Vänsterpartiet 	273249776157066	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	11	1	0	0
Bodil Valero sida	Valero Bodil Elisabeth	300733377216643	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	11	2	0	0
Susanna Gideonsson	Handelsanställdas förbund	2256836864595743	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	10	2	0	0
Martin Ängeby	Angeby Martin Lennart Valdemar	354019898061233	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	10	1	0	0
KD Region Uppsala	KD Region Uppsala	195658617439309	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	9	0	0	0
Gröna Studenter	Almén Henrik Carl Olof	31779071967	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	9	4	0	0
Moderaterna i Östergötland	Moderaterna i Östergötland	435489349877161	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	9	4	0	0
Fredsövning	ABRAHAMSSON PER-OLOV	717556358417977	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	9	1	0	0
Skattebetalarnas Förening	Skattebetalarnas Förening	72832167834	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	9	4	0	0
Moderaterna i Mölndal	Brown Stjarna Amanda Charlotte	125396154314182	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	8	1	0	0
Marie Nilsson	IF Metall	292532504512919	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	8	0	0	0
Georgia Ferris KD EU-Kandidat	Ferris Georgia Minnie Anna	407374246718043	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	8	1	0	0
Anna Vikström		1671556912954715	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	8	1	0	0
Vänsterpartiet Umeå	Sellstedt Karl Sven Andreas	237863203023150	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	7	1	0	0
Miljöpartiet de gröna i Helsingborg	Miljöpartiet de gröna i Helsingborg	106956499327992	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	6	0	0	0
Vänsterpartiet Fyrbodal	Vänsterpartiet Fyrbodal	154507768394620	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	6	1	0	0
Stiftelsen Expo	Stiftelsen Expo	208751565805849	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	6	1	0	0
Grön Omstart	Wallin Lena Maria	407812702944641	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	6	0	0	0
KD Sigtuna	Makris Jessica Therese	2063183643940247	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	6	1	0	0
Socialdemokraterna i Mark	Andersson Hakan Ulf Goran	528944283871109	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Vänsterpartiet Skåne	Vänsterpartiet Skåne	111566022258925	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Timbro	Timbro	237146235237	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	5	0	0	0
Reformisterna	Reformisterna	2337692372925538	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Fria Moderata Studentförbundet	Fria Moderata Studentförbundet	119885094691458	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Jesper Skalberg Karlsson	Skalberg Karlsson Jesper Jens J	2171970199486213	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
