country_code_filter	country_name_filter	impression_code	impression_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
BE	Belgium	0_1k	0 - 1k	3081	762	2141615	0	209743	6
BE	Belgium	1k_5k	1k - 5k	3398	1042	11907978	2382072	234761	48
BE	Belgium	5k_10k	5k - 10k	1695	675	12128324	6064768	129120	2653
BE	Belgium	10k_50k	10k - 50k	2962	802	95704740	19141330	538470	90899
BE	Belgium	50k_100k	50k - 100k	864	267	51966867	25983693	291594	78715
BE	Belgium	100k_200k	100k - 200k	518	171	54868615	27434444	328632	92365
BE	Belgium	200k_500k	200k - 500k	385	122	100371794	40148798	591456	135032
BE	Belgium	500k_1m	500k - 1m	117	57	39571436	19785738	248806	56728
