country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	w019	Week 19	329	62	7544008	2484845	36501	3592
CY	Cyprus	w018	Week 18	253	64	2766680	757333	8998	235
CY	Cyprus	w017	Week 17	201	66	1340925	386405	5484	245
CY	Cyprus	w016	Week 16	242	86	979553	286504	4030	56
CY	Cyprus	w015	Week 15	391	132	1292786	405107	5748	284
CY	Cyprus	w014	Week 14	374	140	1490195	469533	5214	281
CY	Cyprus	w013	Week 13	303	133	2931245	1147372	14304	2135
CY	Cyprus	w012	Week 12	262	108	1164770	438698	5960	797
CY	Cyprus	w011	Week 11	171	74	1174489	392084	4757	373
CY	Cyprus	w010	Week 10	137	70	1109423	403162	3951	234
