advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	SK	Slovakia	60	1	8597604	4001216	35451	8441
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	f	Facebook	SK	Slovakia	244	1	3720330	1047567	28085	999
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	f	Facebook	SK	Slovakia	74	1	3658925	1209999	11326	1000
European Commission		107898832590939	Facebook	f	Facebook	SK	Slovakia	22	1	3429225	1451653	9150	2314
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	f	Facebook	SK	Slovakia	91	1	2528339	941303	15531	2181
Milan Uhrík - poslanec NR SR		193258414360612	Facebook	f	Facebook	SK	Slovakia	7	1	2449993	1110000	12593	2800
Magyar Közösség Pártja	Magyar Közösség Pártja	259594940734093	Facebook	f	Facebook	SK	Slovakia	1124	1	2059440	253986	111245	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	f	Facebook	SK	Slovakia	47	1	1883102	575385	13209	2966
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	f	Facebook	SK	Slovakia	105	1	1729813	504891	14858	1392
Ivan ŠTEFANEC		324560137683033	Facebook	f	Facebook	SK	Slovakia	39	1	1616817	581952	6860	1299
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	f	Facebook	SK	Slovakia	59	1	1567380	484887	6216	100
Plamienok n.o.		174988447418	Facebook	f	Facebook	SK	Slovakia	6	1	1549943	659977	2693	799
Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	f	Facebook	SK	Slovakia	46	1	1421919	506991	7753	799
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	f	Facebook	SK	Slovakia	127	1	1420483	445844	14568	499
Martin Beluský - kandidát na poslanca EP		2011031775831511	Facebook	f	Facebook	SK	Slovakia	34	1	1315171	436841	8158	1198
Nagy József		128401833854581	Facebook	f	Facebook	SK	Slovakia	4	1	1249996	510000	1596	300
Miroslav Žiak		396331590493376	Facebook	f	Facebook	SK	Slovakia	83	1	1199901	284996	8616	99
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	f	Facebook	SK	Slovakia	44	1	1061878	273980	4351	0
Sme rodina		600235073447674	Facebook	f	Facebook	SK	Slovakia	3	1	1049996	409999	1596	599
Andrej Danko - predseda SNS	Slovenská národná strana	1495199624026639	Facebook	f	Facebook	SK	Slovakia	32	1	1014968	357000	7167	999
Kialo		729627343834501	Facebook	f	Facebook	SK	Slovakia	345	1	1012230	401264	6464	1523
Boris Kollar	Sme rodina	1464024763918594	Facebook	f	Facebook	SK	Slovakia	2	1	999997	399999	1997	999
ĽUBOŠ BLAHA	ĽUBOŠ BLAHA	2047997592105476	Facebook	f	Facebook	SK	Slovakia	37	1	995931	309993	4462	199
Miroslav Beblavý SPOLU - občianska demokracia	SPOLU - občianska demokracia	312985238719495	Facebook	f	Facebook	SK	Slovakia	31	1	947969	294000	3068	0
Petra Krištúfková	Sme rodina	1061086993931165	Facebook	f	Facebook	SK	Slovakia	13	1	921971	316996	2810	389
