advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	1k_5k	1k - 5k	26	1	185014604	18501460	358003	5966
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	1k_5k	1k - 5k	37	1	73161319	7316131	509467	8491
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	1k_5k	1k - 5k	21	1	53012123	5301212	289157	4819
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	1k_5k	1k - 5k	8	1	36718353	3671835	110155	1835
Freiheitliche Partei Österreich		AR333020356698701824	Google	1k_5k	1k - 5k	16	1	30063152	3006315	220310	3671
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1k_5k	1k - 5k	12	1	29466478	2946647	165232	2753
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	1k_5k	1k - 5k	25	1	29195680	2919109	344234	5737
SOCIALDEMOKRATIET		AR271193993235136512	Google	1k_5k	1k - 5k	43	1	21388441	2138844	592083	9868
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	1k_5k	1k - 5k	22	1	18359176	1835917	302926	5048
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	1k_5k	1k - 5k	6	1	14733239	1473323	82616	1376
Det Konservative Folkeparti		AR40969452518375424	Google	1k_5k	1k - 5k	8	1	11933464	1193346	110155	1835
HEADS, s.r.o.		AR356967719951663104	Google	1k_5k	1k - 5k	3	1	9225486	922548	41308	688
Párbeszéd Magyarországért		AR567356246269624320	Google	1k_5k	1k - 5k	2	1	9179588	917958	27538	458
Suomen Keskusta r.p.		AR441112520191639552	Google	1k_5k	1k - 5k	10	1	8307527	830752	137693	2294
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	1k_5k	1k - 5k	19	1	6242120	624212	261618	4360
Alternativet		AR198061076825243648	Google	1k_5k	1k - 5k	5	1	6012630	601263	68846	1147
Partido Animalista PACMA		AR145115193901318144	Google	1k_5k	1k - 5k	4	1	5966732	596673	55077	917
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	1k_5k	1k - 5k	3	1	5507753	550775	41308	688
NEA DEMOKRATIA		AR351183464155840512	Google	1k_5k	1k - 5k	2	1	5048773	504877	27538	458
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	1k_5k	1k - 5k	2	1	5048773	504877	27538	458
SPD		AR456734381399080960	Google	1k_5k	1k - 5k	17	1	4084916	408491	234079	3901
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	1k_5k	1k - 5k	11	1	3809529	380952	151463	2524
Venstres Landsorganisation		AR283015942256984064	Google	1k_5k	1k - 5k	14	1	3121060	312106	192771	3212
European Parliament	European Parliament	178362315106	Facebook	1k_5k	1k - 5k	5	1	3099995	1450000	24995	5000
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	1k_5k	1k - 5k	7	1	2799774	279977	96385	1606
