country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	f	female	5796	1586	92425377	37878456	211533	72018
HU	Hungary	m	male	5630	1567	105507674	43673045	251237	83444
HU	Hungary	u	unknown	4796	1196	339351	135884	1052	288
