day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d106	2019-04-16	Ciudadanos	Ciudadanos	74078667754	Facebook	597	1	11180403	3251000	77003	5300
d106	2019-04-16	Partido Popular	Partido Popular	72249031214	Facebook	832	1	5092149	1307083	29108	599
d106	2019-04-16	SPD	SPD	47930567748	Facebook	505	1	4318495	1276000	75495	7300
d106	2019-04-16	Greenpeace France		39435457457	Facebook	11	1	4049611	2021166	20453	4016
d106	2019-04-16	Kialo		729627343834501	Facebook	21	1	2399979	1005000	11286	2421
d106	2019-04-16	România în primul rând	Future Innovation	770704223323599	Facebook	27	1	1951072	812666	1774	507
d106	2019-04-16	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	23	1	1842492	827499	3563	773
d106	2019-04-16	COALICION CANARIA		AR489541609348661248	Google	938	1	1783953	44199	6930	0
d106	2019-04-16	European Commission		107898832590939	Facebook	66	1	1143867	519523	4345	1162
d106	2019-04-16	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	3	1	1074205	529126	2256	1081
d106	2019-04-16	Lilian Marijnissen	SP	844559615710915	Facebook	9	1	905991	341000	3291	600
d106	2019-04-16	AMERISOFT SRL		AR573801583431647232	Google	53	1	706343	69240	174	0
d106	2019-04-16	Apodemia		115927088504184	Facebook	2	1	699998	300000	198	0
d106	2019-04-16	Smart Money		301938383792173	Facebook	5	1	699995	350000	15127	3560
d106	2019-04-16	sp.a	sp.a	57253967150	Facebook	98	1	665967	257678	3127	700
d106	2019-04-16	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	12	1	656662	315833	1995	488
d106	2019-04-16	Katarina Barley	SPD	1522202731410785	Facebook	18	1	550982	197000	3382	400
d106	2019-04-16	Un país moderno	Unidas Podemos	577723459314066	Facebook	29	1	537613	242178	3466	643
d106	2019-04-16	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	3	1	533332	249999	1999	400
d106	2019-04-16	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	13	1	484995	175000	1030	313
d106	2019-04-16	Podemos	Unidas Podemos	269212336568846	Facebook	12	1	476184	196641	2279	642
d106	2019-04-16	Vlaams Belang	Vlaams Belang	56605856504	Facebook	5	1	462743	206372	5978	1446
d106	2019-04-16	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	4	1	454999	227500	719	309
d106	2019-04-16	Fidesz	Fidesz	9844779306	Facebook	4	1	449998	200000	928	464
d106	2019-04-16	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	10	1	444443	183333	2832	733
