advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	5k_10k	5k - 10k	HU	Hungary	29	1	289971	145000	4488	897
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	5k_10k	5k - 10k	HU	Hungary	22	1	219978	110000	618	207
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	5k_10k	5k - 10k	HU	Hungary	20	1	199973	99996	526	235
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	5k_10k	5k - 10k	HU	Hungary	9	1	89990	44999	232	102
Fidesz	Fidesz	9844779306	Facebook	5k_10k	5k - 10k	HU	Hungary	8	1	79992	40000	1098	219
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	5k_10k	5k - 10k	HU	Hungary	8	1	79991	39999	464	129
Jávor Benedek	Párbeszéd Magyarországért	131797633528377	Facebook	5k_10k	5k - 10k	HU	Hungary	7	1	69992	34999	665	133
Gyöngyösi Márton	Jobbik Magyarországért Mozgalom	781030738624077	Facebook	5k_10k	5k - 10k	HU	Hungary	6	1	59994	30000	154	68
aHang	aHang	150836998898897	Facebook	5k_10k	5k - 10k	HU	Hungary	6	1	59993	29999	526	114
Bana Tibor	Jobbik Magyarországért Mozgalom	184890488198962	Facebook	5k_10k	5k - 10k	HU	Hungary	6	1	59993	29999	139	55
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	5k_10k	5k - 10k	HU	Hungary	5	1	49994	24999	386	95
Ágh Péter	Ágh Péter	694941900537141	Facebook	5k_10k	5k - 10k	HU	Hungary	5	1	49991	24998	278	92
MSZP	MSZP	115388925185513	Facebook	5k_10k	5k - 10k	HU	Hungary	4	1	39996	20000	77	24
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	5k_10k	5k - 10k	HU	Hungary	4	1	39996	20000	371	92
Harrach Péter	Országgyűlés Hivatala KDNP frakció	206160682739388	Facebook	5k_10k	5k - 10k	HU	Hungary	4	1	39995	19999	92	37
Európai Parlament Tájékoztatási Irodája	Európai Parlament Tájékoztatási Irodája	126893087354793	Facebook	5k_10k	5k - 10k	HU	Hungary	4	1	39995	19999	92	37
Kocsis Máté	Kocsis Máté	149061108240	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29997	15000	77	34
Farkas Gergely	Farkas Gergely	428800467250448	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29997	15000	77	34
Semjén Zsolt	Országgyűlés Hivatala KDNP frakció	228731803847927	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29997	15000	92	46
MSZP Budapest	MSZP Budapest	414715951917446	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29997	15000	324	64
Aranyos Gábor	Aranyos Gábor	959886460709292	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29997	15000	46	9
Alfahír	Alfahír Hírportál	525574220799452	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29996	14999	201	49
Partizán	Gulyás Márton Ferenc	1406386486355924	Facebook	5k_10k	5k - 10k	HU	Hungary	3	1	29995	14999	201	49
Simonka György	Simonkáné Gábor Marianna	157270314427371	Facebook	5k_10k	5k - 10k	HU	Hungary	2	1	19998	10000	30	6
