gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	CY	Cyprus	1559	409	6266570	2022144	26532	2088
m	male	CY	Cyprus	1482	389	9674445	3036363	40415	2554
u	unknown	CY	Cyprus	1423	374	117452	37621	495	32
