gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	RO	Romania	6331	1301	148707928	61845888	310477	67337
m	male	RO	Romania	6144	1282	187029700	78207343	399745	87129
u	unknown	RO	Romania	5349	1172	462504	188872	1254	267
