gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	SE	Sweden	11237	1959	107299133	36352023	925365	228616
m	male	SE	Sweden	10455	1901	91185573	31243749	784436	193260
u	unknown	SE	Sweden	9509	1806	2611401	878387	21582	5177
