recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-13	2019-05-13	BG	Bulgaria	192	64	757991	218301	2573	107
rd2	Last 2 days	2019-05-12	2019-05-13	BG	Bulgaria	246	69	1792356	521868	5917	254
rd3	Last 3 days	2019-05-11	2019-05-13	BG	Bulgaria	281	71	2884483	847098	9398	410
rd4	Last 4 days	2019-05-10	2019-05-13	BG	Bulgaria	317	74	4031032	1205077	13887	621
rd5	Last 5 days	2019-05-09	2019-05-13	BG	Bulgaria	340	79	4942206	1513721	17115	811
rd6	Last 6 days	2019-05-08	2019-05-13	BG	Bulgaria	380	84	5515760	1697928	19468	915
rw1	Last week	2019-05-07	2019-05-13	BG	Bulgaria	393	92	5919108	1839674	21158	1013
rw2	Last 2 weeks	2019-04-30	2019-05-13	BG	Bulgaria	573	137	9661611	3200327	33544	1776
rw3	Last 3 weeks	2019-04-23	2019-05-13	BG	Bulgaria	751	175	12771599	4494011	41896	3761
rw4	Last 4 weeks	2019-04-16	2019-05-13	BG	Bulgaria	888	224	14441468	5157354	51159	5242
rm1	Last month	2019-04-14	2019-05-13	BG	Bulgaria	1002	247	15033320	5390833	53692	5500
rm2	Last 2 months	2019-03-15	2019-05-13	BG	Bulgaria	1887	544	22908287	8549093	81043	9603
rm3	Last 3 months	2019-02-13	2019-05-13	BG	Bulgaria	2138	609	24300180	9123822	85933	10485
rm6	Last 6 months	2019-01-01	2019-05-13	BG	Bulgaria	2264	647	24702104	9292199	87288	10602
