country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CY	Cyprus	f	female	1846	456	9663491	3266077	41208	3958
CY	Cyprus	m	male	1766	436	14272367	4615120	60747	4728
CY	Cyprus	u	unknown	1699	420	172653	57627	746	58
