country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	d135	2019-05-15	4200	204	5499178	1654039	63677	5346
AT	Austria	d134	2019-05-14	4353	215	6460784	1971068	70560	6336
AT	Austria	d133	2019-05-13	4267	209	6943423	2184230	70058	6837
AT	Austria	d132	2019-05-12	4363	212	6288145	2050883	65530	7879
AT	Austria	d131	2019-05-11	4422	218	7068592	2244113	68489	8112
AT	Austria	d130	2019-05-10	4368	215	6416225	2102430	64109	7680
AT	Austria	d129	2019-05-09	4282	211	6318421	2100582	61026	7213
AT	Austria	d128	2019-05-08	4081	197	6288636	2076738	60673	7207
AT	Austria	d127	2019-05-07	3505	185	5927116	1940445	55617	7541
AT	Austria	d126	2019-05-06	3250	177	4542268	1545519	44953	6007
AT	Austria	d125	2019-05-05	3080	189	4953508	1813925	44181	6818
AT	Austria	d124	2019-05-04	3144	188	4981769	1787199	46509	8083
AT	Austria	d123	2019-05-03	3165	194	4100304	1436698	37818	6587
AT	Austria	d122	2019-05-02	3164	196	4497789	1564432	38804	6283
AT	Austria	d121	2019-05-01	3063	191	6459374	2344371	64275	11718
AT	Austria	d120	2019-04-30	3594	226	5127448	1698993	52530	7588
AT	Austria	d119	2019-04-29	2910	219	5661432	2115804	44619	7944
AT	Austria	d118	2019-04-28	2787	207	3666407	1275193	33811	5131
AT	Austria	d117	2019-04-27	2759	222	3535135	1268363	32418	5207
AT	Austria	d116	2019-04-26	2829	225	3895799	1454693	34865	6047
AT	Austria	d115	2019-04-25	2535	227	3547491	1337408	32473	5226
AT	Austria	d114	2019-04-24	2461	213	2842313	946688	27398	3502
AT	Austria	d113	2019-04-23	2055	211	2403904	822938	22138	4289
AT	Austria	d112	2019-04-22	1787	219	1604579	543491	13048	1584
AT	Austria	d111	2019-04-21	1798	227	1593565	565528	12799	1585
AT	Austria	d110	2019-04-20	1793	236	1542080	507806	12728	1479
AT	Austria	d109	2019-04-19	1826	250	2420920	843681	18001	3019
AT	Austria	d108	2019-04-18	1581	259	1670275	560448	12497	2080
AT	Austria	d107	2019-04-17	1441	268	1390516	524475	10094	1446
AT	Austria	d106	2019-04-16	1326	279	1166338	390973	9363	1220
AT	Austria	d105	2019-04-15	1425	296	1341626	445114	10504	1272
AT	Austria	d104	2019-04-14	1381	308	1416765	516587	10466	1780
AT	Austria	d103	2019-04-13	1376	315	1424642	482362	10821	1592
AT	Austria	d102	2019-04-12	1425	353	1682996	578007	13278	1983
AT	Austria	d101	2019-04-11	1327	352	1256411	432465	10631	1297
AT	Austria	d100	2019-04-10	1198	345	1510966	520897	11116	1798
AT	Austria	d099	2019-04-09	1088	340	1213273	385800	9676	1446
AT	Austria	d098	2019-04-08	1074	341	1131685	383811	9630	1308
AT	Austria	d097	2019-04-07	1051	339	1242539	436477	9621	1515
AT	Austria	d096	2019-04-06	1027	347	1047683	351857	8950	1367
AT	Austria	d095	2019-04-05	1066	355	1139896	404961	9924	1275
AT	Austria	d094	2019-04-04	948	335	1051905	350250	9330	1091
AT	Austria	d093	2019-04-03	837	310	820727	260670	6915	742
AT	Austria	d092	2019-04-02	816	299	764095	264996	7173	1005
AT	Austria	d091	2019-04-01	762	279	1148913	365280	12549	2067
AT	Austria	d090	2019-03-31	845	266	827847	302368	7099	1157
AT	Austria	d089	2019-03-30	798	273	825704	292916	7138	1178
AT	Austria	d088	2019-03-29	831	283	841704	295728	7728	1179
AT	Austria	d087	2019-03-28	803	269	699770	233434	6534	880
AT	Austria	d086	2019-03-27	783	250	855310	297921	8453	1158
AT	Austria	d085	2019-03-26	776	240	1253960	441941	8986	1129
AT	Austria	d084	2019-03-25	729	242	634515	231657	5112	595
AT	Austria	d083	2019-03-24	698	227	511895	160527	4535	386
AT	Austria	d082	2019-03-23	703	227	466727	144185	4505	349
AT	Austria	d081	2019-03-22	731	240	693590	212745	6430	627
AT	Austria	d080	2019-03-21	767	238	949905	330953	8933	1091
AT	Austria	d079	2019-03-20	685	219	794194	283522	7436	919
AT	Austria	d078	2019-03-19	604	197	914147	336885	7367	1049
AT	Austria	d077	2019-03-18	603	204	771305	275875	6748	905
AT	Austria	d076	2019-03-17	524	173	817730	311670	6598	967
AT	Austria	d075	2019-03-16	539	181	1207240	489413	8892	1331
AT	Austria	d074	2019-03-15	527	172	1025917	387720	8726	1563
AT	Austria	d073	2019-03-14	498	157	1001279	403315	8967	1869
AT	Austria	d072	2019-03-13	405	142	350531	117245	3616	295
AT	Austria	d071	2019-03-12	388	134	341947	102538	3580	264
AT	Austria	d070	2019-03-11	381	126	318241	103166	3237	273
AT	Austria	d069	2019-03-10	342	117	285263	103755	2729	315
AT	Austria	d068	2019-03-09	339	119	287007	106425	2637	321
AT	Austria	d067	2019-03-08	339	113	336392	121447	2771	411
AT	Austria	d066	2019-03-07	308	92	313082	114308	2808	299
AT	Austria	d065	2019-03-06	299	85	243130	90723	2065	280
