region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
alba_county	Alba County	RO	Romania	764	136	105067	35002	197	48
arad_county	Arad County	RO	Romania	720	132	1236820	472234	4461	1364
arges_county	Argeș County	RO	Romania	727	129	1189703	370432	1864	310
bacau_county	Bacău County	RO	Romania	769	135	654025	255479	1952	524
bihor_county	Bihor County	RO	Romania	812	143	4791799	1736657	9686	2790
bistrita_nasaud_county	Bistrița-Năsăud County	RO	Romania	731	128	445738	140630	1142	213
botosani_county	Botoșani County	RO	Romania	651	125	47293	19369	200	23
brasov_county	Brașov County	RO	Romania	776	130	1475245	596813	4570	1136
braila_county	Brăila County	RO	Romania	667	126	85160	23511	174	36
bucharest	Bucharest	RO	Romania	820	145	7370896	2712848	23422	5187
buzau_county	Buzău County	RO	Romania	669	126	507302	205838	951	322
caras_severin_county	Caraș-Severin County	RO	Romania	692	130	419290	128956	869	163
cluj_county	Cluj County	RO	Romania	862	151	3024300	1144837	11571	3637
constanta_county	Constanța County	RO	Romania	737	148	2165479	718277	5511	1197
covasna_county	Covasna County	RO	Romania	762	131	299818	79011	614	94
calarasi_county	Călărași County	RO	Romania	628	132	60543	15898	137	25
dolj_county	Dolj County	RO	Romania	711	129	2152129	774462	9013	2302
dambovita_county	Dâmbovița County	RO	Romania	660	128	127485	43844	157	27
galati_county	Galați County	RO	Romania	733	130	1429908	417294	4132	1038
giurgiu_county	Giurgiu County	RO	Romania	602	125	14580	4437	229	3
gorj_county	Gorj County	RO	Romania	652	128	335321	86013	603	111
harghita_county	Harghita County	RO	Romania	829	134	1853168	456095	3796	602
hunedoara_county	Hunedoara County	RO	Romania	732	138	1399118	517112	2786	1017
ialomita_county	Ialomița County	RO	Romania	613	125	82610	21173	175	33
iasi_county	Iași County	RO	Romania	723	140	3710260	1581314	14546	3886
ilfov_county	Ilfov County	RO	Romania	651	128	118402	28486	500	139
maramures_county	Maramureș County	RO	Romania	749	139	2586123	934033	7481	1777
mehedinti_county	Mehedinți County	RO	Romania	651	125	447934	97501	923	157
mures_county	Mureș County	RO	Romania	796	133	1038462	270687	2172	292
neamt_county	Neamț County	RO	Romania	710	134	899571	325986	1805	477
olt_county	Olt County	RO	Romania	649	124	707730	275764	1224	375
prahova_county	Prahova County	RO	Romania	719	130	1488869	476481	3665	889
satu_mare_county	Satu Mare County	RO	Romania	712	135	416878	161613	670	190
sibiu_county	Sibiu County	RO	Romania	754	129	455496	137001	1025	325
suceava_county	Suceava County	RO	Romania	676	130	381963	176459	1399	312
salaj_county	Sălaj County	RO	Romania	704	134	530120	170096	990	232
teleorman_county	Teleorman County	RO	Romania	642	123	326754	131099	484	89
timis_county	Timiș County	RO	Romania	715	134	221183	97325	444	117
tulcea_county	Tulcea County	RO	Romania	629	126	111059	24178	165	25
vaslui_county	Vaslui County	RO	Romania	644	132	467011	168144	886	173
vrancea_county	Vrancea County	RO	Romania	661	129	190595	45948	411	81
valcea_county	Vâlcea County	RO	Romania	667	124	50888	21529	82	21
