advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
The Bellas		395502277694859	Facebook	d129	2019-05-09	HR	Croatia	3	1	22	0	1	0
Tuunes		992176580926495	Facebook	d129	2019-05-09	HR	Croatia	4	1	21	8	0	0
RSM MBA		110428762358678	Facebook	d129	2019-05-09	HR	Croatia	3	1	19	9	0	0
Academic Stories		1462157503898233	Facebook	d129	2019-05-09	HR	Croatia	2	1	16	3	0	0
Intimina		127412964006704	Facebook	d129	2019-05-09	HR	Croatia	2	1	15	3	0	0
MCT- Master Change Training		1949733608605229	Facebook	d129	2019-05-09	HR	Croatia	1	1	14	0	1	0
THTC - The Hemp Trading Company		30239959348	Facebook	d129	2019-05-09	HR	Croatia	5	1	11	3	0	0
FT Content Solutions		1220981994590364	Facebook	d129	2019-05-09	HR	Croatia	2	1	10	2	0	0
Miapetra Kumpula-Natri		922311201130062	Facebook	d129	2019-05-09	HR	Croatia	1	1	7	1	0	0
EURACTIV		15299247059	Facebook	d129	2019-05-09	HR	Croatia	1	1	6	1	0	0
Open Society Foundations		18983389920	Facebook	d129	2019-05-09	HR	Croatia	5	1	5	0	0	0
Alpine Garden Society		239451772739772	Facebook	d129	2019-05-09	HR	Croatia	1	1	4	2	0	0
YOGA BURN		146316959083110	Facebook	d129	2019-05-09	HR	Croatia	3	1	4	0	0	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	d129	2019-05-09	HR	Croatia	2	1	2	0	0	0
S&P Global		112495188784373	Facebook	d129	2019-05-09	HR	Croatia	4	1	2	0	0	0
Urša Zgojznik	Lista Povežimo se	2264632877141356	Facebook	d129	2019-05-09	HR	Croatia	1	1	1	0	0	0
Milan Zver	SDS - Slovenska demokratska stranka	279397488827904	Facebook	d129	2019-05-09	HR	Croatia	1	1	1	0	0	0
KDNP és Frakciója		230385242742	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
مفوضية اللاجئين		188842724507690	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Greenpeace Magyarország		35634348348	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Neva Grašič		2235496013147745	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Routledge Politics, IR and Strategic Studies		59321208735	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Eldritch Foundry		333726374024339	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Exponea		437489159794764	Facebook	d129	2019-05-09	HR	Croatia	4	1	0	0	0	0
VoteWatch Europe		355087424564148	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
VerlagDashofer		100333292570	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Wagner Solar Hungária Kft.		178758885478593	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Schwarzkopf Professional		150101695010185	Facebook	d129	2019-05-09	HR	Croatia	1	1	0	0	0	0
Smart Water Magazine		634705100258374	Facebook	d129	2019-05-09	HR	Croatia	2	1	0	0	0	0
