advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	d094	2019-04-04	83	1	9669421	964441	43364	804
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	d094	2019-04-04	165	1	2244450	222679	498	0
Humble Household		1746853745395190	Facebook	d094	2019-04-04	13	1	1474987	611000	15451	3052
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	d094	2019-04-04	65	1	1209226	116298	535	18
Kialo		729627343834501	Facebook	d094	2019-04-04	3	1	1099997	450000	9343	1869
Ciudadanos	Ciudadanos	74078667754	Facebook	d094	2019-04-04	2	1	1049998	510000	5098	1000
European Greens	European Greens	141366725876424	Facebook	d094	2019-04-04	15	1	1029936	459416	12880	2944
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	d094	2019-04-04	144	1	918718	193336	16156	704
Arnora Oy		AR181544213152792576	Google	d094	2019-04-04	1	1	909090	90909	45	4
SOCIALDEMOKRATIET		AR271193993235136512	Google	d094	2019-04-04	12	1	864468	86446	27653	466
European Commission		107898832590939	Facebook	d094	2019-04-04	41	1	798013	374944	3040	867
Greenpeace France		39435457457	Facebook	d094	2019-04-04	11	1	784989	370000	8589	2200
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	d094	2019-04-04	31	1	756939	344262	1173	332
Suomen Keskusta r.p.		AR441112520191639552	Google	d094	2019-04-04	20	1	746116	74300	12277	209
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	d094	2019-04-04	19	1	567563	56050	16663	327
Sosialidemokraatit SDP		108945982480217	Facebook	d094	2019-04-04	67	1	561805	243189	3437	882
TOP 09		AR268709096956362752	Google	d094	2019-04-04	153	1	537095	18666	1845	0
Zapatos		266384480473840	Facebook	d094	2019-04-04	1	1	499999	200000	1050	210
Renew	Renew  Party	1923371311278106	Facebook	d094	2019-04-04	28	1	422514	87555	5930	1583
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	d094	2019-04-04	5	1	395198	162500	618	170
European Parliament		178362315106	Facebook	d094	2019-04-04	118	1	341449	129741	2527	219
The Labour Party	The Labour Party	25749647410	Facebook	d094	2019-04-04	25	1	336912	146314	2772	549
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	d094	2019-04-04	2	1	315856	31585	1534	25
People's Vote UK	People's Vote	748608695327755	Facebook	d094	2019-04-04	118	1	296997	72318	6171	1467
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	d094	2019-04-04	30	1	278569	122238	301	34
38 Degrees	38 Degrees	200006375787	Facebook	d094	2019-04-04	59	1	270186	111831	1787	307
Stefano Maullu		150618724962388	Facebook	d094	2019-04-04	8	1	265355	119976	1099	315
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	d094	2019-04-04	1	1	249999	100000	525	105
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	d094	2019-04-04	1	1	249999	100000	52	10
Bouzidi Mourad		1840451052913778	Facebook	d094	2019-04-04	1	1	249999	100000	249	50
Rumilus Design Oy		AR391102333313875968	Google	d094	2019-04-04	31	1	238134	22532	101	0
Jukka Kopra		AR232680299937398784	Google	d094	2019-04-04	13	1	222598	21887	8070	155
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	d094	2019-04-04	25	1	210990	92535	1710	348
Primes écologique		152399322377561	Facebook	d094	2019-04-04	2	1	204998	101000	5098	1000
SeeMore		1546319045688366	Facebook	d094	2019-04-04	4	1	201665	100333	808	270
Patryk Jaki		199877710116314	Facebook	d094	2019-04-04	5	1	200663	70000	363	69
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	d094	2019-04-04	1	1	199999	100000	104	21
Campagne nationale d’économie d’énergie		293095048144707	Facebook	d094	2019-04-04	1	1	199999	100000	4999	1000
The Palestine Institute for Public Diplomacy		158233651450504	Facebook	d094	2019-04-04	1	1	199999	100000	444	89
UNICEF		68793499001	Facebook	d094	2019-04-04	2	1	199999	80000	35	0
