audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m18_24	male (18-24)	BG	Bulgaria	2423	689	6263450	2614779	16357	2786
m25_34	male (25-34)	BG	Bulgaria	2673	756	5103554	1964438	17088	2710
f18_24	female (18-24)	BG	Bulgaria	2522	696	4068917	1728117	10949	1847
m35_44	male (35-44)	BG	Bulgaria	2648	745	3669926	1355385	11799	1517
m45_54	male (45-54)	BG	Bulgaria	2596	710	3470113	1219381	11039	1036
f55_64	female (55-64)	BG	Bulgaria	2241	668	2968515	1056400	10557	910
f45_54	female (45-54)	BG	Bulgaria	2736	724	2615373	957390	8565	886
f25_34	female (25-34)	BG	Bulgaria	2813	768	2506695	1004607	9011	1379
m55_64	male (55-64)	BG	Bulgaria	2175	659	2448626	839757	8405	576
f35_44	female (35-44)	BG	Bulgaria	2777	748	2071825	800304	7237	974
f65_	female (65+)	BG	Bulgaria	1955	593	1896532	657864	7513	567
m65_	male (65+)	BG	Bulgaria	1933	593	1287445	438998	4883	323
m13_17	male (13-17)	BG	Bulgaria	334	119	392065	174607	670	83
f13_17	female (13-17)	BG	Bulgaria	358	125	322322	142639	586	62
u35_44	unknown (35-44)	BG	Bulgaria	2242	652	53238	19799	204	32
u25_34	unknown (25-34)	BG	Bulgaria	2203	649	44683	17036	185	29
u45_54	unknown (45-54)	BG	Bulgaria	2028	579	21670	7885	87	13
u18_24	unknown (18-24)	BG	Bulgaria	1664	507	12725	5111	46	7
u65_	unknown (65+)	BG	Bulgaria	1394	466	10542	3646	43	3
u55_64	unknown (55-64)	BG	Bulgaria	1517	516	9968	3502	37	3
u13_17	unknown (13-17)	BG	Bulgaria	203	91	727	314	1	0
