impression_code_filter	impression_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
5k_10k	5k - 10k	Britain's Future	Britain's Future	1625300137516491	Facebook	714	1	7139286	3570000	134564	13191
5k_10k	5k - 10k	Ciudadanos	Ciudadanos	74078667754	Facebook	675	1	6749325	3375000	67625	200
5k_10k	5k - 10k	CDU	CDU	78502295414	Facebook	571	1	5709429	2855000	57329	200
5k_10k	5k - 10k	Partido Popular	Partido Popular	72249031214	Facebook	464	1	4639536	2320000	45936	0
5k_10k	5k - 10k	People's Vote UK	People's Vote	748608695327755	Facebook	427	1	4269573	2135000	107703	14696
5k_10k	5k - 10k	COALICION CANARIA		AR489541609348661248	Google	4654	1	3502483	0	17512	0
5k_10k	5k - 10k	SPD	SPD	47930567748	Facebook	307	1	3069693	1535000	34793	1100
5k_10k	5k - 10k	FDP	FDP	21289227249	Facebook	287	1	2869713	1435000	29613	300
5k_10k	5k - 10k	38 Degrees	38 Degrees	200006375787	Facebook	227	1	2269773	1135000	26005	0
5k_10k	5k - 10k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	215	1	2149785	1075000	30185	1388
5k_10k	5k - 10k	European Parliament		178362315106	Facebook	196	1	1959804	980000	19325	0
5k_10k	5k - 10k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	188	1	1879812	940000	24314	694
5k_10k	5k - 10k	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1897	1	1427634	0	7138	0
5k_10k	5k - 10k	SPÖ	SPÖ	77393060080	Facebook	128	1	1279872	640000	13472	200
5k_10k	5k - 10k	ČSSD	ČSSD	111041662264882	Facebook	120	1	1199880	600000	9244	2747
5k_10k	5k - 10k	Roberta Metsola		406824526101449	Facebook	119	1	1189881	595000	11781	0
5k_10k	5k - 10k	Conservatives	The Conservative Party	8807334278	Facebook	111	1	1109889	555000	15493	694
5k_10k	5k - 10k	mmb media agentur d.o.o.		AR524572049809604608	Google	1379	1	1037800	0	5189	0
5k_10k	5k - 10k	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	89	1	889911	445000	8811	0
5k_10k	5k - 10k	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	86	1	859914	430000	10914	600
5k_10k	5k - 10k	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	82	1	819918	410000	8918	200
5k_10k	5k - 10k	Rädda Barnen		72659261793	Facebook	82	1	819918	410000	11151	3398
5k_10k	5k - 10k	Kialo		729627343834501	Facebook	78	1	779922	390000	10738	890
5k_10k	5k - 10k	Gazeta Wyborcza		63563473556	Facebook	74	1	739926	370000	2448	186
5k_10k	5k - 10k	Médecins du Monde France		265420476920	Facebook	74	1	739926	370000	7726	100
