country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	zagreb	Zagreb	2463	627	3898497	1313169	14857	1214
HR	Croatia	istria_county	Istria County	1939	484	1043912	265869	4105	234
HR	Croatia	split_dalmatia_county	Split-Dalmatia County	2084	554	834278	293203	2820	190
HR	Croatia	osijek_baranja_county	Osijek-Baranja County	1950	505	520738	157863	2175	88
HR	Croatia	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	2043	536	476137	120689	1868	50
HR	Croatia	dubrovnik_neretva_county	Dubrovnik-Neretva County	1783	463	152650	35970	804	6
HR	Croatia	brod_posavina_county	Brod-Posavina County	1639	415	140048	41262	709	12
HR	Croatia	varazdin_county	Varaždin County	1744	421	127376	38246	1063	14
HR	Croatia	zagreb_county	Zagreb County	1696	408	106905	27869	413	10
HR	Croatia	bjelovar_bilogora_county	Bjelovar-Bilogora County	1534	383	97666	26209	481	6
