advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	100_1k	100 - 1k	CZ	Czechia	26	1	4105794	1801283	12565	4123
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	100_1k	100 - 1k	CZ	Czechia	57	1	3462783	1550311	17390	5227
TOP 09	TOP 09	90002267161	Facebook	100_1k	100 - 1k	CZ	Czechia	11	1	2181347	891495	8023	1721
Andrej Babiš	ANO	214827221987263	Facebook	100_1k	100 - 1k	CZ	Czechia	14	1	2171074	1034696	7290	1924
ČSSD	ČSSD	111041662264882	Facebook	100_1k	100 - 1k	CZ	Czechia	180	1	2121741	934253	13710	4374
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	100_1k	100 - 1k	CZ	Czechia	15	1	1491737	645439	5011	1352
European Commission		107898832590939	Facebook	100_1k	100 - 1k	CZ	Czechia	9	1	1207988	503994	2506	1103
Tomáš Zdechovský		275042429350706	Facebook	100_1k	100 - 1k	CZ	Czechia	7	1	1182268	541865	6877	1725
Pavel Poc	Poc Pavel	202974613060409	Facebook	100_1k	100 - 1k	CZ	Czechia	12	1	1103203	501073	3100	969
Jan Zahradil	ODS - Občanská demokratická strana	400970967000022	Facebook	100_1k	100 - 1k	CZ	Czechia	14	1	899220	397824	3109	971
Kialo		729627343834501	Facebook	100_1k	100 - 1k	CZ	Czechia	267	1	871527	354887	5424	1387
Evropa společně	Evropa společně	535611970260854	Facebook	100_1k	100 - 1k	CZ	Czechia	29	1	828711	360585	1656	797
Starostové a nezávislí	Starostové (STAN) s regionálními partnery a TOP 09	370583064327	Facebook	100_1k	100 - 1k	CZ	Czechia	8	1	795867	347719	2700	773
European Greens		141366725876424	Facebook	100_1k	100 - 1k	CZ	Czechia	13	1	771785	317071	1947	422
Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	100_1k	100 - 1k	CZ	Czechia	11	1	708381	301677	1198	589
ecoFuture & E.ON Energy Globe		104654572907664	Facebook	100_1k	100 - 1k	CZ	Czechia	4	1	699911	349957	1995	399
Daniel Herman	Vasek Jiri	378072105614553	Facebook	100_1k	100 - 1k	CZ	Czechia	5	1	508352	203550	404	197
Minidotaznik.cz		432692927273545	Facebook	100_1k	100 - 1k	CZ	Czechia	1	1	499975	199990	889	445
Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	100_1k	100 - 1k	CZ	Czechia	41	1	436911	207453	2834	800
Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	100_1k	100 - 1k	CZ	Czechia	27	1	419043	174179	1647	795
Svobodní		43855944703	Facebook	100_1k	100 - 1k	CZ	Czechia	2	1	295831	147916	2291	574
HLAS	První prezidentská	320144481956623	Facebook	100_1k	100 - 1k	CZ	Czechia	15	1	213831	103458	830	399
Humans of Piráti	Česká pirátská strana	1036986463173677	Facebook	100_1k	100 - 1k	CZ	Czechia	8	1	206495	101991	801	393
Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	100_1k	100 - 1k	CZ	Czechia	4	1	203142	100628	400	196
Tomio Okamura - SPD		179497582061065	Facebook	100_1k	100 - 1k	CZ	Czechia	5	1	203141	100628	789	391
