advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Podemos	Unidas Podemos	269212336568846	Facebook	25_34	25-34	ES	Spain	320	1	26979561	12106774	152464	39097
Ciudadanos	Ciudadanos	74078667754	Facebook	25_34	25-34	ES	Spain	5453	1	19389651	5887744	193441	14359
Partido Popular	Partido Popular	72249031214	Facebook	25_34	25-34	ES	Spain	1224	1	18109344	6622373	104368	15043
PSOE	PSOE	189318235003	Facebook	25_34	25-34	ES	Spain	332	1	6628426	2631968	21247	3818
Un país moderno	Unidas Podemos	577723459314066	Facebook	25_34	25-34	ES	Spain	49	1	3731770	1736185	14286	3276
European Parliament		178362315106	Facebook	25_34	25-34	ES	Spain	61	1	3513915	1592612	11036	2560
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	25_34	25-34	ES	Spain	87	1	2856739	1218766	18083	4685
Greenpeace España	Greenpeace España	133044800622	Facebook	25_34	25-34	ES	Spain	158	1	2433766	787448	9256	795
Kialo		729627343834501	Facebook	25_34	25-34	ES	Spain	384	1	2025704	775381	10927	2685
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	25_34	25-34	ES	Spain	62	1	1627618	716791	5245	1090
Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	25_34	25-34	ES	Spain	45	1	1417609	605955	5576	1714
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	25_34	25-34	ES	Spain	58	1	1285474	554982	5864	1073
Compromís	Compromís	194053080624605	Facebook	25_34	25-34	ES	Spain	39	1	1251840	526837	5165	1150
Ayuda LGTB		315021912539118	Facebook	25_34	25-34	ES	Spain	51	1	1127783	475024	6700	1389
En Comú Podem	En Comú Podem	463627663844039	Facebook	25_34	25-34	ES	Spain	53	1	1004102	408328	3188	926
Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	25_34	25-34	ES	Spain	20	1	972085	433964	6698	1237
Respeto LGTB		2315084548728652	Facebook	25_34	25-34	ES	Spain	280	1	965948	354273	7262	466
Coalicion Canaria	Coalicion Canaria	1499578240271320	Facebook	25_34	25-34	ES	Spain	45	1	943295	354608	2512	420
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	25_34	25-34	ES	Spain	200	1	872444	346244	5932	948
WWF España		57973661707	Facebook	25_34	25-34	ES	Spain	39	1	868042	389111	3937	748
Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	25_34	25-34	ES	Spain	4	1	783603	391802	27073	5414
Irene Montero	Unidas Podemos	699285113542248	Facebook	25_34	25-34	ES	Spain	8	1	743635	361753	5354	1913
Parlamento Europeo - Oficina en España		161616883888862	Facebook	25_34	25-34	ES	Spain	16	1	655796	253622	1182	166
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	25_34	25-34	ES	Spain	852	1	654049	48224	48303	0
Mónica Oltra	Compromís	81107269227	Facebook	25_34	25-34	ES	Spain	16	1	627935	281541	2304	551
