day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d132	2019-05-12	30553	3624	130216448	45188665	880323	100576
d131	2019-05-11	31693	3837	138325171	48661925	916205	112055
d130	2019-05-10	33412	4003	150072406	52665644	955808	129077
d129	2019-05-09	33987	3928	135383881	47182952	969705	120078
d128	2019-05-08	31163	3739	120030702	42083573	828235	105879
d127	2019-05-07	29473	3727	117757295	42169497	822462	108011
d126	2019-05-06	26822	3569	116298764	42864088	711336	108546
d125	2019-05-05	28947	3545	163944242	40164240	1021928	110946
d124	2019-05-04	28659	3519	171237507	42547092	969785	104207
d123	2019-05-03	29392	3712	201524903	52643764	1203662	144355
d122	2019-05-02	31296	4084	175446958	40945969	1153897	102155
d121	2019-05-01	25856	4007	142537575	32715863	885791	93610
d120	2019-04-30	27778	4101	154883546	35374317	933836	91576
d119	2019-04-29	23453	3932	124662139	35161580	750605	94486
d118	2019-04-28	21425	3746	94222496	25300446	587648	67465
d117	2019-04-27	20933	3760	92171173	25082335	520377	63591
d116	2019-04-26	28428	3787	301065130	66810979	1572353	198995
d115	2019-04-25	27489	3712	188102852	51595481	1452125	154248
d114	2019-04-24	24332	3605	161696486	43016262	1195203	114649
d113	2019-04-23	21788	3527	140805545	36482613	946385	91647
d112	2019-04-22	18746	3440	111913489	28166022	593990	59664
d111	2019-04-21	17478	3511	101572440	25231465	546122	50207
d110	2019-04-20	17681	3677	98692512	23981536	554424	50791
d109	2019-04-19	18357	3863	92805609	23536450	523938	50575
d108	2019-04-18	18574	3964	100148655	24594287	615208	52610
d107	2019-04-17	17751	4009	82346528	23512239	553909	54379
d106	2019-04-16	16837	4141	84794798	25472083	528430	56513
d105	2019-04-15	16210	4489	89439822	28899116	545975	71260
d104	2019-04-14	15373	4595	75056317	20394953	474794	44119
d103	2019-04-13	15435	4732	77624909	21443379	486907	44500
