country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FI	Finland	f18_24	female (18-24)	4641	1023	9595427	3493348	86512	15892
FI	Finland	f25_34	female (25-34)	5255	1136	8204345	2926349	77481	13322
FI	Finland	m25_34	male (25-34)	4924	1090	7326071	2551496	74686	12093
FI	Finland	m18_24	male (18-24)	4360	982	7174816	2629031	73946	13406
FI	Finland	f35_44	female (35-44)	5256	1129	6542983	2325916	64352	10699
FI	Finland	m35_44	male (35-44)	4914	1094	5824682	2011992	59554	9318
FI	Finland	f45_54	female (45-54)	4851	1093	5145708	1777589	52833	7894
FI	Finland	m45_54	male (45-54)	4559	1050	4597072	1553586	48583	6816
FI	Finland	f65_	female (65+)	3795	940	4594532	1449831	52371	6078
FI	Finland	f55_64	female (55-64)	4203	1031	4518157	1496341	48872	6029
