advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	limassol_district_CY	Limassol District, Cyprus	4	1	26188	5380	55	0
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	46620712083	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	15986	3197	31	0
European Parliament	European Parliament	178362315106	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	10356	5178	10	0
ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ	Eleftherios Demetriou	609745702447737	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	8351	1670	28	0
Γραφείο Τύπου και Πληροφοριών - Press and Information Office	PIO Cyprus	620027974738907	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	3099	619	61	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	limassol_district_CY	Limassol District, Cyprus	4	1	3004	1233	51	0
European Commission	European Commission	107898832590939	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	2684	1342	6	1
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	2112	422	41	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas	Παναγιώτης Σεντώνας - Panayiotis Sentonas	436419753766608	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	1869	934	18	0
Συμμαχία Πολιτών	ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ	470323203056530	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	1228	245	24	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou	Λευτέρης Χριστοφόρου - Lefteris Christoforou	832972046731724	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	1204	240	23	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	1090	545	2	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	1082	176	37	0
Μεγάλη Ελλάδα / Megali Ellada	Eleftherios Demetriou	401156360637381	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	707	141	14	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	315	0	31	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		Georgia Constantinou Panayiotou	270213387069072	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	269	0	26	0
Δημοκρατικό Κόμμα	Μανωλης Κυριακου	293704380825571	Facebook	limassol_district_CY	Limassol District, Cyprus	1	1	184	0	18	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	limassol_district_CY	Limassol District, Cyprus	2	1	168	41	0	0
